Trajectories
100
,,Sano:Wrist,,,Sano:MPH3,,,Sano:PIP3,,,Sano:DIP3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-130.598816,138.522232,46.356651,-32.687248,43.052025,54.901878,7.447990,7.600235,47.733437,32.163456,-22.048090,30.427080
2,0,-130.561935,138.526733,46.349365,-32.669666,43.059395,54.887939,7.445974,7.610212,47.722153,32.159382,-22.049082,30.426147
3,0,-130.567200,138.523468,46.361832,-32.644890,43.042828,54.892593,7.470528,7.604557,47.725113,32.189991,-22.012917,30.434534
4,0,-130.557770,138.513840,46.322460,-32.661194,43.067089,54.887691,7.486870,7.628379,47.703690,32.189362,-22.014580,30.436438
5,0,-130.555878,138.511734,46.311634,-32.616901,43.051788,54.870449,7.485931,7.636393,47.722980,32.185211,-22.023787,30.428423
6,0,-130.558182,138.510376,46.308392,-32.642750,43.113102,54.870853,7.496202,7.657458,47.704937,32.189419,-22.025543,30.428429
7,0,-130.567825,138.488037,46.290291,-32.653313,43.097599,54.853188,7.478459,7.668541,47.725960,32.175602,-22.023003,30.429598
8,0,-130.564911,138.493668,46.291157,-32.650726,43.085743,54.860134,7.501373,7.636386,47.732685,32.179569,-22.025524,30.430655
9,0,-130.570755,138.466202,46.249035,-32.643738,43.088799,54.861229,7.455707,7.657750,47.655582,32.165447,-22.085571,30.421621
10,0,-130.584549,138.473465,46.228672,-32.615089,43.063740,54.860420,7.511747,7.653869,47.715199,32.187889,-22.018444,30.409472
11,0,-130.590897,138.461929,46.246727,-32.621056,43.066395,54.864784,7.511659,7.655929,47.720619,32.188812,-22.036453,30.423361
12,0,-130.621704,138.456497,46.223724,-32.610493,43.086891,54.863785,7.507577,7.656373,47.738327,32.193741,-22.032778,30.419722
13,0,-130.612518,138.439499,46.202694,-32.638321,43.089661,54.872391,7.466249,7.668482,47.683769,32.161469,-22.075043,30.431524
14,0,-130.671005,138.436630,46.212196,-32.653725,43.081528,54.853233,7.473311,7.655884,47.681870,32.155006,-22.083109,30.408894
15,0,-130.663544,138.425690,46.236664,-32.637634,43.068691,54.872501,7.474683,7.637810,47.742138,32.141129,-22.045567,30.401287
16,0,-130.681473,138.406052,46.227386,-32.636871,43.056557,54.884617,7.483710,7.614432,47.731464,32.166229,-22.065199,30.429829
17,0,-130.711029,138.365051,46.237480,-32.659912,43.052692,54.872845,7.483927,7.618522,47.740265,32.125999,-22.063690,30.398676
18,0,-130.755051,138.382767,46.299545,-32.680237,43.019466,54.906544,7.482161,7.602274,47.734779,32.135063,-22.073473,30.412691
19,0,-130.766235,138.357880,46.328907,-32.683258,43.025024,54.896477,7.470479,7.608285,47.752876,32.147125,-22.067297,30.400816
20,0,-130.796371,138.363907,46.335938,-32.674461,43.021481,54.928444,7.475738,7.595404,47.765892,32.136658,-22.079605,30.411612
21,0,-130.786285,138.362045,46.348495,-32.681168,43.022900,54.933784,7.498482,7.576704,47.764912,32.150116,-22.060196,30.402294
22,0,-130.774628,138.352585,46.372925,-32.665836,43.022594,54.948051,7.473115,7.618253,47.761444,32.144222,-22.063108,30.417305
