Trajectories
100
,,Sano:Wrist,,,Sano:MPH3,,,Sano:PIP3,,,Sano:DIP3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-135.474045,152.322708,48.565063,-29.983141,65.776390,55.932667,13.187667,37.012676,53.715794,42.997833,8.748553,36.510452
2,0,-135.455841,152.275940,48.578358,-29.998522,65.746628,55.955997,13.202960,37.012165,53.723064,43.005882,8.724104,36.493324
3,0,-135.456039,152.245514,48.580345,-29.989388,65.748642,55.950256,13.220411,37.015720,53.746151,43.027840,8.720274,36.495983
4,0,-135.455643,152.214462,48.577232,-29.993380,65.751122,55.944462,13.202913,37.012482,53.722836,43.006664,8.741640,36.524307
5,0,-135.471344,152.208420,48.579487,-30.022686,65.736641,55.958694,13.169669,37.029228,53.718613,43.027946,8.738108,36.547337
6,0,-135.472580,152.223343,48.555473,-30.007559,65.741356,55.911640,13.187007,37.006630,53.729248,43.039902,8.709018,36.544048
7,0,-135.454132,152.200958,48.567665,-30.021095,65.756477,55.923729,13.178172,37.013081,53.730511,43.029335,8.726588,36.538155
8,0,-135.454666,152.201950,48.565468,-30.018951,65.752159,55.937462,13.173071,37.030457,53.728329,43.054794,8.718221,36.584831
9,0,-135.436676,152.210434,48.554016,-30.021700,65.754623,55.902367,13.176393,37.018185,53.717915,43.038158,8.726657,36.557823
10,0,-135.474731,152.207504,48.550888,-30.031151,65.762039,55.879303,13.166102,36.993977,53.724693,43.032566,8.729568,36.552521
11,0,-135.416092,152.190445,48.570587,-30.032228,65.774658,55.899078,13.166238,36.994606,53.733940,43.028946,8.735117,36.577324
12,0,-135.416153,152.191467,48.565094,-30.014730,65.772232,55.904221,13.178428,36.977085,53.746143,43.050709,8.725990,36.567223
13,0,-135.412415,152.205612,48.570824,-30.027971,65.777863,55.906612,13.171204,36.989929,53.729523,43.058075,8.723477,36.576729
14,0,-135.416275,152.236237,48.601871,-30.028715,65.778008,55.906059,13.167646,36.969467,53.746311,43.041893,8.692257,36.622860
15,0,-135.391479,152.191193,48.646168,-30.019821,65.753761,55.916317,13.195243,36.931618,53.770782,43.071926,8.698455,36.578850
16,0,-135.389984,152.216003,48.648117,-30.005033,65.758064,55.907455,13.188080,36.952892,53.752705,43.078491,8.701018,36.600235
17,0,-135.393250,152.207153,48.659794,-29.991985,65.751747,55.907253,13.190543,36.941490,53.762680,43.063244,8.697814,36.585838
18,0,-135.358704,152.194473,48.658875,-29.983192,65.750366,55.917458,13.196221,36.944241,53.766094,43.072273,8.686112,36.611378
19,0,-135.376160,152.240540,48.646023,-29.982681,65.764534,55.889187,13.180445,36.957451,53.758312,43.074883,8.677263,36.600086
