Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-74.356659,147.199478,-3.734187,-22.519903,81.060104,58.597057,-114.134354,79.662346,2.730479,20.698133,38.096397,54.138756,36.493137,8.487329,33.519596,50.054024,36.621185,28.071413
2,0,-74.392395,147.267593,-3.678730,-22.522179,81.063126,58.627480,-114.203239,79.692307,2.843253,20.698277,38.114624,54.133312,36.500469,8.488121,33.507591,50.046093,36.626453,28.071644
3,0,-74.365204,147.289124,-3.635989,-22.449116,81.080338,58.643204,-114.200912,79.838081,2.893470,20.735220,38.116421,54.156643,36.343113,8.586744,33.678410,49.760571,36.674515,28.094202
4,0,-74.336479,147.341614,-3.598563,-22.420162,81.117065,58.645039,-114.109741,79.918655,2.950793,20.755615,38.120953,54.148201,36.551846,8.516586,33.513489,50.083721,36.647503,28.073206
5,0,-74.287216,147.415695,-3.624608,-22.345955,81.152725,58.668396,-114.092537,79.994720,3.008989,20.842108,38.148849,54.152122,36.599716,8.517982,33.517498,50.149303,36.668163,28.040565
6,0,-74.198372,147.528000,-3.578627,-22.292654,81.185867,58.704823,-114.037926,79.963585,3.091071,20.910305,38.156425,54.140350,36.631504,8.517597,33.503441,50.212177,36.686089,28.031519
7,0,-74.141586,147.729935,-3.496923,-22.191963,81.194122,58.743793,-114.004608,79.988930,3.202015,21.011528,38.164284,54.172348,36.701214,8.533483,33.509567,50.292233,36.716480,28.031199
8,0,-74.034187,147.933838,-3.373533,-22.110880,81.198395,58.769650,-113.965309,79.919601,3.331236,21.100126,38.184757,54.176018,36.776413,8.508593,33.503601,50.390163,36.714966,28.009493
9,0,-73.960587,148.097946,-3.262351,-22.032516,81.211433,58.821861,-113.930275,79.944450,3.441794,21.163561,38.172649,54.210304,36.845253,8.520967,33.528458,50.465004,36.722927,28.019278
10,0,-73.916794,148.177353,-3.211556,-21.927992,81.212708,58.865932,-113.873207,79.915497,3.524484,21.262648,38.207550,54.213699,37.014709,8.598601,33.704422,50.464264,36.776199,28.080866
11,0,-74.050262,147.252060,-3.406307,-21.833588,81.235733,58.909798,-113.836990,79.959969,3.666573,21.355986,38.223293,54.214546,37.108303,8.577256,33.652969,50.485153,36.789371,28.090155
12,0,-73.929008,147.815781,-3.211752,-21.761225,81.266670,58.928917,-113.867188,80.010307,3.771461,21.384768,38.261143,54.210171,37.150452,8.604733,33.642700,50.511486,36.817135,28.091337
13,0,-74.031242,147.317703,-3.258180,-21.720289,81.294655,58.948200,-113.874596,80.017998,3.889046,21.437876,38.307137,54.204491,37.170403,8.633236,33.619251,50.534725,36.835560,28.093317
14,0,-74.036491,147.324478,-3.244683,-21.708012,81.315071,58.949699,-113.898376,80.067863,3.992923,21.439459,38.346325,54.192669,37.168198,8.676962,33.634960,50.465603,36.839645,28.097834
15,0,-74.066780,147.328873,-3.152979,-21.732403,81.350731,58.962772,-114.021149,80.022980,4.082829,21.435364,38.372135,54.177227,37.171577,8.707778,33.626072,50.447838,36.851162,28.094353
16,0,-74.128876,147.351547,-3.137271,-21.711159,81.343987,58.999527,-114.280098,79.050591,4.765010,21.406645,38.417374,54.158188,36.995995,8.667792,33.536331,50.473698,36.810253,28.053234
17,0,-74.177887,147.321915,-3.123477,-21.695892,81.348160,59.015240,-114.367966,79.110016,4.828876,21.353216,38.411858,54.137428,36.950027,8.675795,33.495422,50.400627,36.809475,28.039162
18,0,-74.270317,147.323730,-3.122455,-21.694611,81.345650,59.052765,-114.414879,79.075569,4.910314,21.337936,38.441849,54.098026,36.940674,8.674480,33.485126,50.334698,36.808422,28.024166
19,0,-74.358337,147.291641,-3.122774,-21.703793,81.377907,59.070126,-114.480263,79.112068,4.899115,21.320938,38.431736,54.094181,36.908550,8.723866,33.490070,50.292164,36.795567,28.012741
20,0,-74.351334,147.231125,-3.152359,-21.708990,81.397232,59.089989,-114.601784,79.057350,5.033848,21.295124,38.426929,54.073128,36.927364,8.747709,33.489178,50.248009,36.750790,28.022865
21,0,-74.367409,147.236511,-3.130140,-21.732466,81.480789,59.078613,-114.649002,78.968758,5.100892,21.289137,38.427799,54.055756,36.961105,8.775711,33.538921,50.235641,36.713455,28.040854
22,0,-74.382996,147.232910,-3.154281,-21.790125,81.609184,59.017624,-114.688866,78.856125,5.149058,21.278252,38.426117,54.042641,36.984257,8.761450,33.576328,50.257793,36.690384,28.078117
23,0,-74.456482,147.174988,-3.147186,-21.804602,81.574303,59.024868,-114.740211,78.809196,5.322351,21.267160,38.391357,54.065514,36.964542,8.749166,33.547710,50.280743,36.648155,28.162113
24,0,-74.439369,147.189682,-3.094925,-21.900038,81.320786,58.976597,-114.857132,78.821838,5.399325,21.279503,38.384735,54.103302,36.808891,8.676330,33.403450,50.339767,36.562164,28.252285
25,0,-74.490181,147.179596,-3.000803,-21.859301,81.315125,59.025105,-114.868530,79.014938,5.431692,21.354637,38.400593,54.153252,36.849525,8.660652,33.444042,50.305473,36.486034,28.272583
26,0,-74.500130,147.144730,-2.925748,-21.827950,81.306793,59.054417,-114.904495,79.036545,5.557677,21.422028,38.384991,54.223022,36.890026,8.664890,33.453983,50.300934,36.495861,28.315073
27,0,-74.509888,147.170425,-2.835738,-21.781729,81.296783,59.076488,-114.932854,79.017143,5.797903,21.484713,38.389256,54.243229,36.941940,8.662860,33.473892,50.186954,36.386948,28.147558
28,0,-74.522621,147.181503,-2.740741,-21.682217,81.321342,59.135357,-114.867523,79.135567,5.882945,21.574322,38.369362,54.274628,37.008282,8.693002,33.495857,50.248970,36.370487,28.188620
29,0,-74.511238,147.214249,-2.641654,-21.614407,81.320702,59.206520,-114.853676,79.199005,6.073996,21.605837,38.378864,54.263138,37.065910,8.690908,33.529274,50.299843,36.370258,28.229118
30,0,-74.387749,147.276245,-2.550182,-21.496504,81.316223,59.258190,-114.528152,80.538666,5.165673,21.620089,38.343697,54.210197,37.209785,8.679533,33.602238,50.358395,36.363747,28.286570
31,0,-74.360809,147.336563,-2.492568,-21.425940,81.357346,59.301369,-114.540977,80.540146,5.381751,21.691072,38.363750,54.258266,37.294010,8.639453,33.681175,50.479683,36.322174,28.359016
32,0,-74.240112,147.398788,-2.428330,-21.325277,81.440788,59.336109,-114.541908,80.761574,5.476669,21.821508,38.394859,54.310780,37.456081,8.643379,33.741116,50.609219,36.331680,28.417645
33,0,-74.142761,147.524399,-2.386872,-21.188751,81.468018,59.382904,-114.700806,79.986992,6.474308,21.986828,38.407539,54.343742,37.560047,8.640453,33.818470,50.658127,36.332588,28.452091
34,0,-74.044029,147.626389,-2.309298,-21.090773,81.510902,59.418514,-114.509262,81.010910,5.795458,22.055490,38.414341,54.400208,37.711460,8.621085,33.962059,50.544514,36.380112,28.424517
35,0,-73.958824,147.737503,-2.307653,-20.997469,81.498116,59.462059,-114.729568,80.192558,6.766462,22.185497,38.396294,54.470978,37.718975,8.574650,33.905781,50.417648,36.501804,28.293016
36,0,-73.855560,147.805435,-2.376364,-20.931047,81.579811,59.449116,-114.683723,80.284225,6.898045,22.205578,38.444187,54.450993,37.681248,8.642556,33.840992,50.456768,36.505581,28.296062
37,0,-73.756241,147.891891,-2.436566,-20.922289,81.641815,59.415096,-114.684631,80.503571,6.884687,22.212572,38.482555,54.443130,37.482784,8.846178,33.623352,50.431889,36.526772,28.285065
38,0,-73.730133,147.930267,-2.635493,-20.901976,81.704781,59.366444,-114.683075,80.540710,6.846842,22.157381,38.561481,54.363819,37.457905,8.833655,33.605694,50.429661,36.508698,28.274645
39,0,-73.619545,147.936996,-2.784078,-20.946583,81.748451,59.302696,-114.742470,80.646477,6.726344,22.074091,38.615883,54.297298,37.427612,8.831661,33.617989,50.399719,36.530075,28.257935
40,0,-73.567001,147.953629,-2.952628,-21.017170,81.697601,59.247982,-114.740616,80.825470,6.486843,21.950859,38.602173,54.251831,37.401711,8.786774,33.616947,50.349583,36.512096,28.293486
41,0,-73.501587,147.947586,-3.092070,-21.158525,81.648209,59.188797,-114.832291,80.673813,6.416370,21.822716,38.585968,54.243824,37.177471,8.745071,33.580826,50.411396,36.355709,28.298216
