Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-69.878975,150.545258,17.092722,-13.776220,70.452110,58.844490,-113.489532,84.738129,20.049170,28.992632,32.189770,53.568504,49.992142,6.673019,37.534939,57.192417,32.986660,29.179274
2,0,-69.953178,150.537979,17.141087,-13.855201,70.400490,58.892086,-113.502220,84.649261,20.096367,28.930300,32.155460,53.580776,49.958706,6.680938,37.537388,57.153423,32.932087,29.195047
3,0,-70.002876,150.513443,17.243711,-13.863772,70.336060,58.938160,-113.586388,84.662888,20.133980,28.904793,32.078545,53.601810,49.968102,6.652155,37.530689,57.083054,32.884800,29.201019
4,0,-70.057213,150.498505,17.256929,-13.946385,70.343033,58.981102,-113.606842,84.577713,20.142183,28.860083,32.062897,53.616058,49.902760,6.672566,37.520058,57.017658,32.875935,29.189541
5,0,-70.095055,150.436111,17.261217,-13.971617,70.315125,58.998760,-113.696617,84.683662,20.096262,28.788227,32.074059,53.592518,49.853634,6.663587,37.518024,56.900753,32.862812,29.179838
6,0,-70.234230,150.448807,17.276011,-14.057772,70.278412,58.998734,-113.717598,84.603264,20.097282,28.766191,32.063519,53.605038,49.821396,6.657709,37.499062,56.788723,32.839077,29.185493
7,0,-70.268692,150.379181,17.270611,-14.092414,70.253403,58.995968,-113.798531,84.638351,20.034351,28.748657,32.038410,53.588329,49.874344,6.619762,37.514816,56.757797,32.796612,29.196081
8,0,-70.261864,150.329071,17.253448,-14.126189,70.246536,58.999142,-113.817749,84.566895,20.015104,28.712027,32.044174,53.561325,49.787453,6.659813,37.514797,56.681526,32.779739,29.213348
9,0,-70.387032,150.324295,17.202751,-14.174727,70.245148,58.970848,-113.804405,84.507927,19.953384,28.691732,32.050480,53.551434,49.809570,6.652546,37.486244,56.628014,32.758526,29.199284
10,0,-70.409462,150.278366,17.170954,-14.184376,70.227951,58.935249,-113.872475,84.550201,19.910604,28.665216,32.059704,53.562962,49.809013,6.639317,37.482029,56.565266,32.759056,29.174643
11,0,-70.426300,150.261658,17.178337,-14.223178,70.180008,58.942390,-113.900017,84.468849,19.874269,28.640310,32.040474,53.556561,49.789734,6.647833,37.503578,56.541969,32.720272,29.211637
12,0,-70.521713,150.233521,17.177580,-14.264725,70.158295,58.980824,-113.974648,84.511688,19.843084,28.584438,32.019901,53.590195,49.772297,6.607558,37.496807,56.457851,32.710777,29.194498
13,0,-70.533676,150.156174,17.229359,-14.335409,70.079178,58.988361,-114.009834,84.495712,19.828661,28.545473,31.989258,53.566673,50.217667,6.157709,37.554703,56.449802,32.682770,29.215815
14,0,-70.576324,150.116257,17.212372,-14.355811,70.089966,58.962315,-114.089653,84.534912,19.764381,28.526304,31.992138,53.565453,50.238640,6.161452,37.569893,56.388615,32.680637,29.213394
15,0,-70.632530,150.104630,17.217678,-14.376678,70.070633,58.994034,-114.078217,84.476028,19.773262,28.537882,31.989765,53.580498,50.208443,6.173500,37.562393,56.377777,32.658108,29.223475
16,0,-70.645012,150.047440,17.240137,-14.388394,70.055321,59.007633,-114.095352,84.379951,19.779476,28.541655,31.974983,53.580906,50.268276,6.113567,37.591480,56.405941,32.642715,29.218401
17,0,-70.645500,150.039520,17.254408,-14.372104,70.029770,59.010147,-113.761047,82.428993,20.583984,28.544016,31.975039,53.565395,50.260212,6.122067,37.576927,56.361664,32.643127,29.219578
18,0,-70.670181,150.027298,17.277626,-14.349238,70.021194,59.053989,-114.792229,88.497955,17.913937,28.601397,31.981379,53.593102,49.933834,6.518834,37.532635,56.363255,32.589226,29.205498
19,0,-70.664749,150.034485,17.317270,-14.351068,70.057472,59.084564,-113.741280,82.460777,20.684866,28.642225,31.977325,53.617271,49.950951,6.514370,37.543373,56.368320,32.584023,29.215500
20,0,-70.629532,150.028336,17.429163,-14.270754,70.061806,59.141628,-113.979637,84.323975,19.945553,28.705030,32.010349,53.640312,49.987114,6.524329,37.570774,56.394459,32.580357,29.234758
21,0,-70.625061,150.005615,17.520267,-14.214655,70.085510,59.234707,-114.693542,88.503891,18.130203,28.743906,32.010601,53.663193,50.007309,6.544447,37.568375,56.441048,32.598789,29.251720
22,0,-70.615143,150.034851,17.641607,-14.169575,70.050873,59.288971,-114.670677,88.542343,18.238195,28.764387,32.012325,53.702656,50.004417,6.545449,37.576954,56.426441,32.609203,29.261120
23,0,-70.570107,150.049896,17.777885,-14.121477,70.070862,59.358791,-114.661697,88.669907,18.311583,28.820215,31.955246,53.743515,50.044258,6.513971,37.597076,56.464912,32.576641,29.275993
24,0,-70.565544,150.020203,17.945206,-14.096361,70.035927,59.430729,-113.865158,84.280762,20.472857,28.838339,31.951311,53.772175,50.048016,6.508614,37.580421,56.489155,32.609482,29.280769
25,0,-70.580849,150.035080,18.062853,-14.034961,70.016235,59.522846,-113.848061,84.354553,20.572615,28.904493,31.895685,53.823196,50.055313,6.506675,37.599350,56.513092,32.614658,29.276363
26,0,-70.576599,150.015961,18.213703,-13.989672,69.951599,59.633999,-113.851646,84.334297,20.672594,28.948929,31.863119,53.863529,50.061195,6.488209,37.632710,56.606876,32.572842,29.320675
27,0,-70.556793,150.022949,18.394611,-13.932488,69.917519,59.745926,-113.805550,84.346794,20.753466,28.961744,31.838530,53.933823,50.070507,6.456425,37.647575,56.627850,32.593052,29.334002
28,0,-70.573608,149.975647,18.541077,-13.922921,69.874260,59.834217,-113.731972,84.198830,20.942669,28.995609,31.801693,53.961479,50.116318,6.426652,37.658329,56.690331,32.575249,29.331169
29,0,-70.555046,149.944748,18.747202,-13.924614,69.812645,59.932339,-113.719597,84.166962,21.023937,29.013773,31.709312,53.996876,50.088131,6.377031,37.666328,56.721584,32.603493,29.350269
30,0,-70.586578,149.916962,18.906080,-13.922746,69.747154,60.049236,-113.673416,84.087570,21.179726,29.005608,31.651188,54.064526,50.069237,6.374846,37.673927,56.747948,32.599102,29.327578
31,0,-70.546112,149.850357,19.100025,-13.900656,69.650726,60.163555,-113.694321,84.053757,21.326443,29.013157,31.592842,54.100185,50.100323,6.286627,37.698288,56.797966,32.549736,29.351664
32,0,-70.569733,149.835266,19.319754,-13.910730,69.554489,60.288811,-113.685104,83.950569,21.467438,29.035406,31.497377,54.142540,50.068726,6.272085,37.682594,56.822350,32.557072,29.361742
33,0,-70.574677,149.773453,19.487432,-13.869630,69.445839,60.435883,-113.776299,84.020226,21.549980,29.034798,31.401936,54.209702,50.100517,6.206796,37.707802,56.871670,32.546642,29.365076
34,0,-70.564163,149.685669,19.719500,-13.863255,69.346550,60.558582,-113.766747,83.914719,21.692236,29.010956,31.334526,54.273270,50.110115,6.159574,37.733303,56.944454,32.519566,29.382652
35,0,-70.600266,149.675491,19.889853,-13.885234,69.329338,60.672066,-113.774277,83.886871,21.807362,29.033646,31.254925,54.336239,50.106964,6.117691,37.732964,56.945126,32.527191,29.397335
36,0,-70.590088,149.619888,20.122652,-13.861338,69.211975,60.807949,-114.454445,87.883408,20.042999,29.030293,31.170622,54.362778,50.098320,6.066261,37.746216,56.960659,32.524830,29.400202
37,0,-70.655609,149.599716,20.320713,-13.861156,69.132576,60.923431,-114.429268,87.758904,20.234386,29.048641,31.108786,54.416138,50.145267,6.027504,37.765999,56.983837,32.492138,29.427956
38,0,-70.660431,149.582458,20.546446,-13.846962,69.050560,61.053158,-114.424194,87.634216,20.438049,29.048357,31.044071,54.492661,50.133030,5.972910,37.767826,56.985611,32.517395,29.443771
39,0,-70.672234,149.527939,20.726814,-13.829316,69.023621,61.194771,-114.430077,87.619621,20.553740,29.097532,31.000973,54.552937,50.145370,5.957864,37.778008,57.045040,32.499065,29.469204
40,0,-70.699020,149.508133,20.922695,-13.776680,68.957390,61.330608,-113.785423,83.616051,22.502064,29.155451,30.926674,54.605221,50.150009,5.942801,37.778267,57.087761,32.470181,29.503809
41,0,-70.713753,149.455093,21.144939,-13.746743,68.894737,61.491955,-113.764038,83.490204,22.711903,29.163921,30.907297,54.665794,50.160580,5.897563,37.806274,57.101707,32.464272,29.533401
42,0,-70.742928,149.430038,21.346575,-13.744182,68.848480,61.612431,-113.764938,83.446411,22.837376,29.201923,30.807438,54.729412,50.203083,5.842922,37.811108,57.157120,32.411930,29.574799
43,0,-70.716957,149.349686,21.490696,-13.707803,68.775330,61.744560,-113.751480,83.348053,22.974291,29.245256,30.741474,54.771664,50.232166,5.822167,37.817131,57.170883,32.350960,29.591021
44,0,-70.727470,149.314621,21.645130,-13.640033,68.689201,61.870705,-113.747406,83.307762,23.089197,29.301018,30.682880,54.849689,50.235832,5.782549,37.823898,57.200642,32.333988,29.603600
45,0,-70.726624,149.270569,21.772728,-13.627854,68.660278,61.979622,-113.744537,83.204514,23.231020,29.292698,30.628389,54.891888,50.234943,5.737997,37.825008,57.195869,32.295841,29.624937
46,0,-70.738754,149.198792,21.920103,-13.628055,68.576614,62.069958,-114.462006,87.448463,21.318457,29.378448,30.573736,54.955418,50.221943,5.744497,37.812477,57.220226,32.271572,29.636372
47,0,-70.816452,149.139130,22.011852,-13.634990,68.537315,62.173447,-114.443672,87.385727,21.375618,29.360020,30.522118,54.995205,50.209431,5.729519,37.821438,57.216492,32.260761,29.668514
48,0,-70.814056,149.043839,22.162472,-13.613016,68.459351,62.268700,-113.709511,82.964569,23.413298,29.364307,30.463650,55.078899,50.259190,5.651247,37.839108,57.207512,32.167343,29.712862
49,0,-70.810570,148.996185,22.246616,-13.630275,68.390388,62.380527,-113.689186,82.884773,23.493767,29.379919,30.398802,55.120361,50.243847,5.620019,37.845657,57.154564,32.077450,29.753326
50,0,-70.868233,148.963303,22.361807,-13.615275,68.317307,62.433941,-113.679733,82.816994,23.514990,29.392584,30.327805,55.182980,50.287113,5.590518,37.824322,57.124336,32.007565,29.785946
51,0,-70.866272,148.868149,22.481318,-13.633152,68.264809,62.539219,-113.707611,82.704033,23.570856,29.387388,30.300976,55.211914,50.225735,5.566753,37.817951,57.087860,31.957603,29.833122
52,0,-70.900208,148.876984,22.588770,-13.646422,68.198792,62.589020,-113.694748,82.618591,23.613352,29.370651,30.233486,55.263798,50.220455,5.543180,37.789871,57.010201,31.857122,29.865688
53,0,-70.912117,148.826035,22.698355,-13.654454,68.192459,62.672569,-113.693542,82.590912,23.718103,29.383894,30.187328,55.327084,50.225357,5.461345,37.757744,56.934895,31.772375,29.918642
54,0,-70.968201,148.791000,22.798033,-13.692381,68.140686,62.752342,-113.797394,82.588806,23.708464,29.318506,30.103827,55.341190,50.190231,5.428744,37.757118,56.818871,31.713173,29.982370
55,0,-71.048592,148.754013,22.897474,-13.692582,68.084717,62.857113,-113.797600,82.562164,23.812391,29.292318,30.051943,55.400490,50.126541,5.427482,37.738720,56.711742,31.705070,30.000786
