Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,133.279816,212.992340,86.130821,217.050827,155.434555,100.992760,113.827179,133.224625,85.501129,266.700470,132.976807,75.123604,286.335815,116.991966,47.896385,281.087891,149.254059,37.677547
2,0,133.139053,212.312286,85.667114,217.016632,155.418121,100.989166,113.827171,133.224655,85.501129,266.681183,132.981369,75.120850,286.295258,116.984177,47.892311,281.034119,149.269775,37.700512
3,0,133.104965,212.320892,85.643059,217.016632,155.417374,100.989403,113.801140,133.208557,85.495537,266.667969,132.970810,75.118202,286.280212,116.981003,47.892464,281.062775,149.257919,37.726158
4,0,133.092957,212.314011,85.650070,216.991653,155.430222,100.988373,113.772980,133.207153,85.498062,266.664795,132.960785,75.124825,286.227997,116.983261,47.881149,281.019409,149.265366,37.714020
5,0,133.077271,212.337753,85.645645,216.980667,155.445404,100.964836,113.792488,133.223785,85.469727,266.655609,132.976944,75.116600,286.224121,116.988625,47.872799,281.011749,149.241104,37.709091
6,0,133.087997,212.317642,85.658028,216.984528,155.473618,100.964890,113.775223,133.233704,85.481262,266.658478,133.000610,75.104393,286.223206,117.006195,47.885239,281.004700,149.203796,37.699497
7,0,133.115341,212.326706,85.643883,216.980484,155.471237,100.991493,113.781982,133.256195,85.475853,266.656616,132.991226,75.128143,286.215515,117.001854,47.920620,280.991882,149.225616,37.699615
8,0,133.092133,212.313431,85.649048,216.975983,155.478973,100.993950,113.775826,133.325974,85.468430,266.653564,132.982559,75.171333,286.292328,117.020882,47.947659,280.818024,148.685654,37.498085
9,0,133.094955,212.328812,85.651642,216.997742,155.475861,101.011299,113.786980,133.338730,85.472519,266.674438,132.979416,75.198326,286.267181,116.967285,47.983978,280.971375,149.103134,37.659294
10,0,133.133575,212.341278,85.643570,216.995499,155.497498,101.020432,113.819839,133.328445,85.470039,266.678589,132.993607,75.219391,286.294067,116.979965,48.036762,281.014923,149.083603,37.643669
11,0,133.118301,212.337448,85.625427,217.003372,155.526855,101.013489,113.822815,133.374985,85.456619,266.669403,133.002533,75.256233,286.311646,116.977219,48.054649,280.975983,149.074417,37.614853
12,0,133.125458,212.355484,85.639252,217.009720,155.546677,101.006325,113.822021,133.363342,85.449654,266.674957,132.993622,75.260376,286.293518,116.969894,48.056747,281.000488,149.048645,37.647659
13,0,133.094864,212.368240,85.645737,217.012848,155.550949,101.008926,113.794540,133.403595,85.460144,266.661407,133.040649,75.238365,286.306396,117.009537,48.041969,280.993378,149.045944,37.639267
14,0,133.116684,212.342865,85.636230,216.997894,155.539276,100.997932,113.799812,133.413116,85.457703,266.646484,133.062378,75.209915,286.295166,117.058800,47.993351,280.971680,149.047531,37.607700
15,0,133.093536,212.324829,85.632790,217.005615,155.542160,100.972488,113.807137,133.421143,85.442879,266.657745,133.092560,75.135490,286.273682,117.097534,47.935307,280.963440,149.077744,37.599785
16,0,133.134644,212.324570,85.624496,216.992279,155.521423,100.952606,113.787704,133.401520,85.435722,266.655060,133.037491,75.129013,286.278778,117.066269,47.902332,280.803650,148.741898,37.447247
17,0,133.096512,212.311935,85.639091,216.986984,155.487823,100.941086,113.777840,133.411758,85.414780,266.647919,132.997559,75.087273,286.270996,117.045944,47.876438,280.797058,148.727127,37.458309
18,0,133.075119,212.326538,85.656143,216.955048,155.460266,100.935280,113.774368,133.412674,85.405533,266.635651,132.970169,75.060280,286.252380,117.016617,47.866539,280.826111,148.690598,37.473679
19,0,133.066360,212.291138,85.658760,216.944092,155.437271,100.935928,113.804291,133.352859,85.417953,266.621277,132.954285,75.078049,286.253265,116.977554,47.884960,280.815826,148.684616,37.467945
20,0,133.073944,212.278275,85.673775,216.952911,155.423889,100.926109,113.794418,133.363953,85.396835,266.595520,132.936768,75.081802,286.275146,116.961281,47.883965,280.814941,148.682800,37.461418
21,0,133.088440,212.275681,85.657005,216.965820,155.396881,100.934677,113.788185,133.368515,85.384338,266.599030,132.911774,75.103378,286.252258,116.921730,47.911694,280.832764,148.656738,37.473328
22,0,133.088242,212.275772,85.656815,216.946289,155.419525,100.953117,113.793259,133.364960,85.367691,266.585907,132.892456,75.125252,286.230835,116.874992,47.931915,280.814728,148.657455,37.482430
23,0,133.084015,212.282288,85.682587,216.940552,155.408859,100.954475,113.784943,133.353378,85.383011,266.612793,132.865997,75.152649,286.258057,116.849403,47.942760,280.812744,148.657516,37.503033
