Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
32,0,-82.284523,152.915283,0.512394,-29.994234,78.224686,55.159214,-123.534416,86.231010,4.309406,11.749308,35.231224,49.488529,29.613209,7.429040,32.872868,40.199001,33.268826,28.970959
33,0,-82.250145,152.908112,0.504091,-30.007292,78.203003,55.129013,-123.505028,86.255928,4.264372,11.749686,35.238312,49.475395,29.609707,7.436492,32.862900,40.183918,33.276505,28.946070
34,0,-82.285286,152.874481,0.480506,-30.006441,78.203384,55.129772,-123.507187,86.263794,4.262067,11.741182,35.231079,49.479977,29.576830,7.456480,32.849022,40.195683,33.266975,28.951662
35,0,-82.286034,152.874542,0.480663,-29.994646,78.209183,55.124512,-123.474266,86.150917,4.285014,11.763331,35.221886,49.478626,29.606567,7.449148,32.851810,40.199902,33.275417,28.958416
36,0,-82.248055,152.878036,0.496022,-29.993694,78.217094,55.139992,-123.476517,86.150314,4.285862,11.762565,35.215744,49.486328,29.590551,7.449349,32.853725,40.196724,33.274754,28.966419
37,0,-82.289742,152.885162,0.518416,-29.996367,78.209862,55.152103,-123.487213,86.111801,4.331778,11.768127,35.187817,49.490150,29.596121,7.444273,32.855728,40.212406,33.267838,28.960949
38,0,-82.290169,152.884277,0.521002,-29.996351,78.157349,55.149582,-123.482964,86.116631,4.329402,11.773417,35.185581,49.499832,29.617981,7.456661,32.849998,40.182560,33.274277,28.960495
39,0,-82.306259,152.868835,0.531031,-30.008793,78.203148,55.159203,-123.495361,86.109314,4.334445,11.749631,35.193737,49.493225,29.580187,7.449088,32.845814,40.198860,33.283844,28.959751
40,0,-82.305664,152.870499,0.530549,-29.990910,78.215599,55.143574,-123.502113,86.109245,4.336091,11.775043,35.200806,49.472588,29.570728,7.455212,32.841274,40.176006,33.288986,28.968311
41,0,-82.292847,152.863617,0.503055,-29.956106,78.215828,55.174183,-123.500443,86.111641,4.335002,11.754951,35.195347,49.484932,29.593176,7.454721,32.860416,40.187454,33.280277,28.959482
42,0,-82.292404,152.863647,0.504064,-29.968981,78.203743,55.150810,-123.498360,86.112244,4.334333,11.758533,35.191917,49.490646,29.581202,7.478309,32.843521,40.185902,33.276104,28.975510
43,0,-82.293449,152.865494,0.502926,-30.007668,78.219658,55.164986,-123.502594,86.111076,4.335682,11.756874,35.242817,49.469078,29.568106,7.456151,32.845982,40.199276,33.275673,28.971447
