Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,469.678894,-122.772346,-127.294273,434.289551,-222.940598,-124.867088,388.280273,-125.352097,-134.233093,423.974487,-271.137787,-162.479004,412.897308,-285.386414,-195.620071,443.645142,-274.258728,-204.228653
2,0,469.405334,-122.562065,-127.504929,434.296326,-222.947281,-124.883087,388.280334,-125.352066,-134.233124,423.981323,-271.238892,-162.547882,412.929199,-285.411743,-195.650589,443.669464,-274.254486,-204.244568
3,0,469.498108,-122.712456,-127.286880,434.304871,-222.955841,-124.889275,388.271759,-125.366104,-134.237457,423.993713,-271.273804,-162.556091,412.930328,-285.416779,-195.656723,443.733917,-274.259857,-204.272293
4,0,469.737762,-122.920067,-127.129601,434.293732,-222.961395,-124.889702,388.252899,-125.381706,-134.246567,424.022369,-271.260040,-162.550674,412.939331,-285.414886,-195.678177,443.734039,-274.263184,-204.277634
5,0,469.667877,-122.806496,-127.310272,434.312378,-222.974899,-124.886688,388.677765,-125.308334,-134.453995,424.020844,-271.251556,-162.558014,412.939667,-285.414642,-195.678375,443.740082,-274.256592,-204.300552
6,0,469.486176,-122.717064,-127.305031,434.301300,-222.986908,-124.901031,388.312439,-125.384155,-134.264008,423.979309,-271.255402,-162.585938,412.934692,-285.413513,-195.709702,443.736969,-274.239716,-204.306290
7,0,469.681915,-122.882660,-127.158272,434.268890,-222.969604,-124.938065,388.328064,-125.380470,-134.269989,423.973969,-271.237671,-162.596558,412.937256,-285.424011,-195.701660,443.730560,-274.234680,-204.313095
8,0,469.474762,-122.722641,-127.333908,434.288757,-222.967316,-124.929161,388.319397,-125.361305,-134.315933,423.945068,-271.254242,-162.587967,412.930878,-285.410614,-195.714706,443.662720,-274.258209,-204.329391
9,0,469.442169,-122.721748,-127.330376,434.270142,-222.965958,-124.918289,388.309143,-125.358147,-134.326584,423.962891,-271.253418,-162.554031,412.917633,-285.402008,-195.713943,443.659454,-274.263123,-204.301697
10,0,469.378448,-122.608887,-127.514618,434.264648,-222.963898,-124.919418,388.312286,-125.356255,-134.327377,423.928009,-271.254852,-162.564423,412.913483,-285.425415,-195.699295,443.662964,-274.278748,-204.294174
11,0,469.606659,-122.830917,-127.242310,434.271362,-222.971802,-124.903084,388.317566,-125.358925,-134.315857,423.937958,-271.247223,-162.557175,412.903442,-285.426147,-195.698776,443.639221,-274.294495,-204.292358
12,0,469.542542,-122.733330,-127.390373,434.262054,-222.985214,-124.893623,388.316162,-125.373421,-134.364014,423.938232,-271.159576,-162.532776,412.915100,-285.427856,-195.678696,443.648651,-274.302917,-204.286987
