Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,148.704605,-97.507378,-2.398734,56.571995,-36.656319,54.013489,96.347816,-147.297989,2.878541,14.074918,12.930732,52.503952,-7.926148,39.838173,35.750561,,,
2,0,148.687027,-97.535271,-2.388828,56.587181,-36.653217,54.027740,96.265450,-147.342194,2.863941,14.057820,12.888359,52.473866,-7.926990,39.833702,35.745956,,,
3,0,148.725555,-97.579132,-2.368355,56.551792,-36.668289,54.004238,96.295944,-147.366013,2.851768,14.084397,12.861607,52.463356,-7.926796,39.836700,35.732082,,,
4,0,148.692307,-97.619194,-2.350163,56.566319,-36.660320,53.998501,96.173119,-147.416824,2.836135,14.083303,12.884145,52.469139,-7.931978,39.826443,35.721123,,,
5,0,148.684799,-97.651024,-2.344172,56.608154,-36.635399,54.021759,96.188354,-147.387650,2.869272,14.101522,12.875306,52.480186,-7.947351,39.812359,35.718529,,,
6,0,148.672409,-97.691078,-2.333225,56.593685,-36.643955,54.031792,97.642708,-147.307571,2.319828,14.100088,12.883933,52.476933,-7.920995,39.816990,35.722744,,,
7,0,148.626724,-97.719231,-2.269450,56.625874,-36.604977,54.066601,97.641174,-147.306625,2.313455,14.100678,12.895530,52.494148,-7.904175,39.784332,35.740086,,,
8,0,148.610764,-97.757690,-2.281989,56.649757,-36.605305,54.085659,97.529007,-147.324341,2.365883,14.108463,12.862263,52.455509,-7.888090,39.799480,35.728153,,,
9,0,148.619812,-97.777107,-2.259725,56.670586,-36.555626,54.119007,96.237274,-147.425751,2.948671,14.130774,12.856446,52.468689,-7.881293,39.799191,35.723717,,,
10,0,148.615326,-97.817268,-2.279331,56.695827,-36.525314,54.151615,96.307945,-147.564133,2.882814,14.114717,12.841681,52.461403,-7.899742,39.792870,35.720123,,,
11,0,148.615433,-97.859787,-2.282012,56.451160,-36.844528,54.000858,96.289421,-147.590866,2.833013,14.134369,12.803737,52.460495,-7.881667,39.781368,35.722057,,,
12,0,148.612961,-97.862549,-2.323298,56.444836,-36.873550,53.987373,97.519707,-147.480515,2.291319,14.141540,12.775270,52.459591,-7.870638,39.749733,35.721062,,,
13,0,148.622223,-97.881401,-2.399368,56.426495,-36.876873,53.938999,96.350441,-147.552353,2.766608,14.136861,12.728279,52.435032,-7.873687,39.742577,35.713032,,,
14,0,148.612900,-97.869392,-2.450649,56.435989,-36.941120,53.901409,96.427238,-147.555496,2.684339,14.154516,12.687243,52.421494,-7.870042,39.716038,35.706417,,,
15,0,148.585190,-97.892883,-2.502786,56.409016,-36.969936,53.887272,96.454346,-147.646133,2.630238,14.126294,12.628380,52.424084,-7.883975,39.698185,35.714462,,,
16,0,148.573639,-97.893265,-2.505374,56.404846,-36.974350,53.886826,96.470383,-147.680115,2.591860,14.128149,12.574624,52.424828,-7.897852,39.691135,35.712639,,,
17,0,148.568634,-97.878998,-2.565078,56.361927,-36.971405,53.873524,96.275627,-147.566071,2.586727,14.130061,12.487448,52.433506,-7.896080,39.686634,35.722172,,,
18,0,148.549683,-97.868233,-2.567057,56.360760,-36.970798,53.867203,96.310410,-147.572952,2.525746,14.155955,12.402020,52.447807,-7.894559,39.731094,35.734097,,,
19,0,148.516922,-97.848335,-2.568117,56.346489,-36.951805,53.884502,96.241943,-147.556915,2.507235,14.122542,12.545042,52.459576,-7.891923,39.728092,35.737617,,,
20,0,148.516602,-97.838242,-2.538272,56.351017,-36.901340,53.912506,96.166214,-147.498764,2.592684,14.001316,12.782079,52.429611,-7.933054,39.728706,35.733521,,,
21,0,148.483643,-97.777733,-2.557436,56.361904,-36.881783,53.938061,96.271812,-147.464264,2.638043,14.032893,12.827127,52.424992,-7.921650,39.773937,35.716492,,,
22,0,148.542557,-97.727280,-2.536276,56.357941,-36.858150,53.930992,96.134735,-147.404465,2.592543,14.075353,12.895929,52.429424,-7.916923,39.808826,35.732956,,,
23,0,148.538818,-97.671997,-2.507171,56.391441,-36.787487,53.968590,96.266190,-147.396698,2.648137,14.090851,12.964318,52.440567,-7.937937,39.806904,35.722496,,,
24,0,148.593567,-97.603920,-2.492408,56.421478,-36.786594,53.979279,96.327797,-147.407394,2.673905,14.098493,13.002438,52.474854,-7.924468,39.822910,35.752014,,,
25,0,148.619659,-97.553070,-2.451920,56.464096,-36.733303,54.043167,96.426117,-147.361847,2.696021,14.105300,13.019354,52.479984,-7.938902,39.824768,35.744781,,,
26,0,148.686157,-97.518723,-2.443517,56.485413,-36.717426,54.015461,96.247307,-147.258026,2.732178,14.136141,13.078648,52.482193,-7.915702,39.862690,35.755062,,,
27,0,148.695312,-97.465431,-2.478666,56.473412,-36.736263,53.926899,96.400627,-147.223419,2.699388,14.154959,13.092841,52.463379,-7.927408,39.854046,35.741024,,,
28,0,148.720215,-97.452873,-2.465968,56.515568,-36.728592,53.951061,96.512108,-147.169739,2.713483,14.156056,13.104369,52.437714,-7.920237,39.855175,35.748257,,,
29,0,148.773315,-97.391785,-2.460255,56.515827,-36.676846,53.983601,97.719910,-147.088486,2.179016,14.162865,13.098199,52.476028,-7.939855,39.857929,35.745285,,,
30,0,148.780441,-97.334587,-2.429442,56.537346,-36.669586,53.973614,97.818130,-147.077774,2.161739,14.160709,13.105168,52.465954,-7.939516,39.862049,35.751652,,,
