Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,157.596924,92.654633,117.804886,92.065918,196.124512,135.575333,83.440712,65.520767,119.657845,82.849205,254.116501,127.412956,80.943436,289.216156,114.455223,,,
2,0,157.629120,92.758797,117.814926,92.107903,196.252701,135.647385,83.561386,65.597290,119.711609,82.869087,254.273056,127.491043,80.969284,289.330627,114.544899,,,
3,0,157.641220,92.850990,117.791130,92.105125,196.345383,135.721344,83.639221,65.687973,119.790192,82.866501,254.412079,127.617729,80.976051,289.439453,114.662178,,,
4,0,157.678955,92.994217,117.811150,92.134438,196.425323,135.832367,83.651184,65.762650,119.906349,82.859169,254.498535,127.722458,80.996841,289.589935,114.781525,,,
5,0,157.699417,93.110992,117.865082,92.096863,196.517029,135.920364,83.732094,65.788391,119.944977,82.873146,254.601425,127.829521,80.981018,289.710815,114.918053,,,
6,0,157.730545,93.175026,117.875694,92.095657,196.642029,136.025192,83.791359,65.790649,120.011070,82.853638,254.735199,127.970215,80.967484,289.810944,115.029839,,,
7,0,157.754349,93.289818,117.910461,92.113815,196.723389,136.108124,83.854683,65.948158,120.054916,82.876556,254.842514,128.080414,80.983200,289.935974,115.157959,,,
8,0,157.746307,93.411385,117.875504,92.148270,196.887802,136.154266,83.859009,65.981918,120.093880,82.883125,254.944946,128.152664,81.023750,290.039948,115.257721,,,
9,0,157.760941,93.490143,117.871140,92.156982,196.987961,136.163010,83.945023,66.065430,120.175713,82.919724,255.091309,128.200287,81.073227,290.225037,115.276482,,,
10,0,157.760254,93.616997,117.826973,92.189972,197.127548,136.167969,84.002647,66.181274,120.273422,82.954987,255.197998,128.160995,81.116066,290.323242,115.203598,,,
11,0,157.807877,93.714897,117.815063,92.181343,197.268997,136.125900,83.995384,66.306763,120.268784,82.987129,255.322006,128.077393,81.186897,290.448486,115.093498,,,
12,0,157.806274,93.815781,117.797630,92.197517,197.428635,136.057358,83.966064,66.467674,120.260384,83.045486,255.437531,128.005936,81.277031,290.603485,114.993042,,,
13,0,157.797607,93.943901,117.755585,92.207108,197.597137,136.007843,84.000031,66.550522,120.292831,83.093292,255.616333,127.925720,81.328911,290.781403,114.877373,,,
14,0,157.813019,94.075935,117.704208,92.224190,197.716553,135.941742,83.993553,66.597641,120.311852,83.106628,255.765198,127.795998,81.321304,290.942444,114.739014,,,
