Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,142.218597,-97.049034,-6.224433,50.645187,-36.168919,53.082390,88.935394,-146.448593,-2.870650,7.635877,12.431366,53.677341,-16.058828,39.166622,36.608292,,,
2,0,142.218918,-97.042168,-6.215147,50.637810,-36.165489,53.089859,88.913254,-146.423248,-2.931957,7.645613,12.425625,53.670925,-16.036335,39.157520,36.617435,,,
3,0,142.218597,-97.049034,-6.224433,50.650883,-36.151268,53.078667,88.913284,-146.423386,-2.932101,7.657528,12.431271,53.662800,-16.046022,39.167946,36.610832,,,
4,0,142.218597,-97.049034,-6.224433,50.625820,-36.142273,53.086555,88.888351,-146.433243,-2.985809,7.652828,12.440139,53.663990,-16.046219,39.198055,36.618626,,,
5,0,142.215012,-97.040573,-6.244682,50.633533,-36.131386,53.071285,88.840012,-146.372742,-3.001457,7.663883,12.463831,53.674980,-16.059031,39.197151,36.613277,,,
6,0,142.192184,-96.999405,-6.254861,50.588177,-36.113827,53.071812,88.798256,-146.386002,-3.006359,7.643637,12.431529,53.677914,-16.066607,39.205032,36.614296,,,
7,0,142.176559,-97.001442,-6.258586,50.586246,-36.122322,53.053299,88.888290,-146.441483,-2.994064,7.632723,12.463614,53.675095,-16.082624,39.223503,36.603226,,,
8,0,142.164566,-97.023735,-6.234225,50.541901,-36.096878,53.037872,88.918854,-146.451477,-2.998280,7.602364,12.437181,53.677856,-16.080587,39.210705,36.614410,,,
9,0,142.130905,-96.982224,-6.175920,50.526642,-36.078678,53.048260,88.910866,-146.467804,-3.004881,7.619580,12.505421,53.686005,-16.102503,39.232529,36.617878,,,
10,0,142.124924,-96.999435,-6.066927,50.854435,-36.349834,53.078926,88.845680,-146.331680,-2.848250,7.605722,12.520319,53.709492,-16.118166,39.276165,36.638920,,,
11,0,142.138962,-96.982651,-5.945843,50.848385,-36.262764,53.115623,88.881622,-146.334732,-2.761867,7.644950,12.584471,53.723289,-16.108461,39.321419,36.646168,,,
12,0,142.144913,-96.957771,-5.818756,50.883194,-36.162914,53.171238,88.852242,-146.313202,-2.508102,7.655212,12.695098,53.770161,-16.085030,39.420654,36.667923,,,
13,0,142.152893,-96.995171,-5.669355,50.928371,-36.028217,53.249126,88.949738,-146.289124,-2.347825,7.699258,12.840193,53.783089,-16.074619,39.487000,36.651569,,,
14,0,142.187332,-96.937515,-5.427144,50.989193,-35.898804,53.345528,89.772865,-145.906784,-2.221904,7.779183,12.969893,53.823582,-16.043993,39.597717,36.675880,,,
15,0,142.221436,-96.919853,-5.185875,51.063221,-35.752468,53.463783,88.973549,-146.106781,-1.587735,7.842050,13.087494,53.861217,-15.984435,39.664822,36.671383,,,
16,0,142.317413,-96.831039,-4.864527,51.145962,-35.551052,53.586262,89.062775,-146.093018,-1.229883,7.899213,13.222111,53.899414,-15.955390,39.785378,36.708595,,,
17,0,142.363144,-96.798683,-4.566833,51.252384,-35.383121,53.695553,89.199814,-146.063370,-0.818648,7.963449,13.406835,53.964725,-15.915902,39.890171,36.715500,,,
18,0,142.461777,-96.774666,-4.328617,51.371433,-35.184433,53.817772,89.324944,-146.087357,-0.422955,8.038849,13.563164,53.975056,-15.875563,40.005680,36.725780,,,
19,0,142.586304,-96.677147,-3.985767,51.428101,-35.002987,53.925667,89.439583,-146.035172,0.019778,8.110264,13.704381,54.008923,-15.829675,40.096886,36.728058,,,
20,0,142.677231,-96.578682,-3.722620,51.521736,-34.820030,54.067814,89.444672,-145.895050,0.431383,8.156667,13.834136,54.048672,-15.792317,40.191471,36.721760,,,
21,0,142.831253,-96.459480,-3.443418,51.633240,-34.686489,54.152096,89.618385,-145.852142,0.825121,8.204343,13.933400,54.106064,-15.759353,40.254547,36.743656,,,
22,0,142.904327,-96.374062,-3.158228,51.705231,-34.517746,54.237186,89.694588,-145.759094,1.206854,8.264232,14.046773,54.137722,-15.731350,40.319683,36.758484,,,
23,0,143.020325,-96.241974,-2.896836,51.788883,-34.370388,54.350109,89.726624,-145.721924,1.555613,8.284820,14.132864,54.182621,-15.740211,40.349110,36.764301,,,
24,0,143.125626,-96.098373,-2.650721,51.840630,-34.252541,54.441257,89.747009,-145.514755,1.911121,8.279164,14.231580,54.181820,-15.751491,40.403610,36.781769,,,
25,0,143.223038,-95.946793,-2.418801,51.896088,-34.060532,54.481041,89.878677,-145.411987,2.176487,8.275311,14.294657,54.215733,-15.756171,40.446201,36.774982,,,
26,0,143.272827,-95.792397,-2.283624,51.930706,-33.951324,54.571701,89.935768,-145.337997,2.429156,8.287602,14.338225,54.252640,-15.793841,40.490776,36.782707,,,
27,0,143.355270,-95.661613,-2.075949,51.985744,-33.913197,54.618977,89.998833,-145.289581,2.702310,8.284228,14.393411,54.270916,-15.779112,40.536457,36.761520,,,
28,0,143.432999,-95.448700,-1.908353,51.823315,-34.042034,54.537960,90.014275,-145.150009,2.966260,8.308519,14.446896,54.305347,-15.770025,40.566597,36.784664,,,
29,0,143.492294,-95.293312,-1.703147,51.814613,-34.000389,54.582928,90.172997,-145.089188,3.179677,8.273431,14.490624,54.324867,-15.790030,40.628132,36.780350,,,
30,0,143.582687,-95.143753,-1.519745,51.789951,-33.920120,54.642136,90.312782,-144.970367,3.352985,8.277268,14.568933,54.357430,-15.837849,40.661549,36.805721,,,
31,0,143.686096,-94.998032,-1.316032,51.810806,-33.852200,54.687706,90.525772,-144.961456,3.568520,8.278060,14.614154,54.369087,-15.819997,40.675415,36.811562,,,
32,0,143.743088,-94.808090,-1.167439,51.833183,-33.789547,54.735344,90.661636,-144.884079,3.703048,8.280030,14.691908,54.392059,-15.833350,40.765881,36.828796,,,
33,0,143.823273,-94.653366,-1.083784,51.878330,-33.670475,54.816967,90.773315,-144.821625,3.867648,8.283446,14.779438,54.423817,-15.845232,40.807812,36.847565,,,
34,0,143.908508,-94.484581,-0.959811,51.876427,-33.569313,54.828587,90.874405,-144.771194,3.995413,8.280666,14.835119,54.444729,-15.852993,40.867123,36.854160,,,
35,0,143.948990,-94.350281,-0.904364,51.882164,-33.493877,54.868301,91.046318,-144.646759,4.168177,8.283846,14.888116,54.496498,-15.913133,40.877510,36.872173,,,
36,0,143.986923,-94.169128,-0.829068,51.899635,-33.453724,54.916958,90.975685,-144.495132,4.340618,8.334106,15.035137,54.540707,-15.955143,40.958988,36.879120,,,
37,0,144.007507,-94.045967,-0.787124,51.863056,-33.388897,54.904873,91.113914,-144.396606,4.417799,8.405778,15.168870,54.597195,-15.968552,40.994488,36.927067,,,
38,0,144.011230,-93.896965,-0.757461,51.859333,-33.344391,54.937538,91.253441,-144.368149,4.509953,8.562297,15.383830,54.700062,-15.991639,41.036777,36.933971,,,
39,0,144.011444,-93.827522,-0.749897,51.840374,-33.334866,54.941769,91.344437,-144.281509,4.582872,8.695102,15.549424,54.762089,-15.747668,41.190163,36.938435,,,
40,0,143.982193,-93.690430,-0.701843,51.818462,-33.290337,54.948982,91.406517,-144.176575,4.622571,8.357471,15.280740,54.610256,-15.681589,41.374187,36.986057,,,
41,0,143.968231,-93.605133,-0.680787,51.783615,-33.233364,54.980064,91.236595,-144.050598,4.807859,8.219551,15.224779,54.621342,-16.087416,41.200974,36.951050,,,
42,0,143.956787,-93.494011,-0.656786,51.794056,-33.219322,55.008606,91.455109,-144.005646,4.785638,8.203499,15.262793,54.644806,-16.075966,41.265278,36.964836,,,
43,0,143.926590,-93.415092,-0.647796,51.833256,-33.163380,55.020149,91.472275,-143.946228,4.884830,8.196295,15.314718,54.664856,-16.108084,41.296288,36.971901,,,
44,0,143.860733,-93.323280,-0.629152,51.812962,-33.096283,55.043301,91.448517,-143.875183,5.033663,8.197958,15.337089,54.675640,-16.127823,41.316494,36.984421,,,
45,0,143.903107,-93.273521,-0.570300,51.846886,-33.053677,55.110153,91.458389,-143.845352,5.100899,8.185924,15.419149,54.703976,-16.132986,41.377819,37.005295,,,
46,0,143.892563,-93.205765,-0.511419,51.853001,-32.986275,55.126301,92.579033,-143.680557,4.724217,8.196787,15.454463,54.738636,-16.138884,41.409302,37.024139,,,
47,0,143.884323,-93.179047,-0.472534,51.912907,-32.897984,55.165222,92.767944,-143.767822,4.769217,8.235595,15.513304,54.763412,-16.145403,41.466644,37.029053,,,
48,0,143.889923,-93.178299,-0.422516,51.953575,-32.861778,55.223515,91.745346,-143.831009,5.363439,8.252170,15.586187,54.781670,-16.149504,41.490345,37.036240,,,
