Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-57.641350,-12.434033,-17.971214,67.642815,-14.791575,-14.310290,-45.483105,49.911129,23.068903,110.089478,-3.070605,-69.382004,110.517807,15.922730,-106.241928,,,
2,0,-57.630642,-12.489421,-17.990875,67.656166,-14.805939,-14.309828,-45.480282,49.901371,23.083736,110.143501,-3.084163,-69.370140,110.542488,15.885674,-106.256271,,,
3,0,-57.621861,-12.469238,-17.997044,67.648628,-14.804904,-14.279624,-45.766724,49.788544,22.823107,110.187973,-3.092507,-69.303284,110.543503,15.892258,-106.209518,,,
4,0,-57.623486,-12.460912,-17.986942,67.642998,-14.791045,-14.282894,-45.789433,49.764469,22.812017,110.155701,-3.119755,-69.307762,110.527855,15.868128,-106.188705,,,
5,0,-57.640530,-12.438265,-18.038910,67.634186,-14.765290,-14.276525,-45.519714,49.923218,23.017357,110.177551,-3.117965,-69.274597,110.528595,15.870869,-106.196243,,,
6,0,-57.645615,-12.367336,-18.063036,67.636414,-14.789229,-14.283955,-45.522633,49.940575,23.008450,110.181732,-3.118931,-69.268921,110.584694,15.801639,-106.194923,,,
7,0,-57.677330,-12.398723,-18.116344,67.642044,-14.788046,-14.278036,-45.538597,49.909737,22.997116,110.180443,-3.126176,-69.284584,110.585312,15.804834,-106.203072,,,
8,0,-57.640594,-12.512763,-18.003607,67.652542,-14.779087,-14.262716,-45.540607,49.918350,22.999405,110.171356,-3.176185,-69.272797,110.582825,15.793458,-106.242676,,,
9,0,-57.649525,-12.507528,-18.050444,67.653641,-14.800866,-14.286153,-45.735470,49.873489,22.837200,110.174622,-3.169737,-69.286835,110.587158,15.798573,-106.269188,,,
10,0,-57.596954,-12.579450,-18.094461,67.673477,-14.790970,-14.324071,-45.720570,49.890564,22.810455,110.191750,-3.168650,-69.318909,110.584511,15.796149,-106.288116,,,
11,0,-57.575703,-12.497764,-18.027014,67.677086,-14.791018,-14.325550,-45.717846,49.872490,22.825117,110.227654,-3.137242,-69.290154,110.578239,15.801838,-106.340630,,,
12,0,-57.564350,-12.588517,-18.035891,67.668541,-14.770139,-14.359605,-45.718216,49.870991,22.807846,110.207649,-3.125432,-69.347954,110.578545,15.804209,-106.363953,,,
13,0,-57.573662,-12.516661,-18.032503,67.702934,-14.736728,-14.372744,-45.710178,49.831081,22.793970,110.243385,-3.098748,-69.366592,110.571289,15.830204,-106.413109,,,
14,0,-57.548866,-12.665508,-18.002346,67.713783,-14.726400,-14.443689,-45.672539,49.803795,22.789730,110.244713,-3.079620,-69.420799,110.593338,15.841998,-106.420601,,,
15,0,-57.518337,-12.681497,-18.035423,67.714691,-14.757177,-14.435326,-45.681789,49.853752,22.760559,110.189789,-3.092400,-69.486526,110.582306,15.897430,-106.485657,,,
16,0,-57.507870,-12.618927,-18.041094,67.726280,-14.724675,-14.461231,-45.671726,49.879524,22.772551,110.227501,-3.071622,-69.453499,110.553085,15.930733,-106.478737,,,
17,0,-57.523933,-12.547922,-18.119486,67.749062,-14.753646,-14.467823,-45.657173,49.910263,22.772470,110.272591,-3.021307,-69.488708,110.582962,15.898716,-106.493378,,,
18,0,-57.556786,-12.465910,-18.200506,67.757957,-14.768023,-14.465648,-45.658508,49.842529,22.715059,110.236893,-3.071756,-69.489685,110.626572,15.898294,-106.478844,,,
19,0,-57.556248,-12.472235,-18.202995,67.764389,-14.745208,-14.477217,-45.455143,49.900738,22.858198,110.303856,-3.053139,-69.471123,110.627609,15.893485,-106.474319,,,
20,0,-57.527317,-12.455976,-18.162663,67.765007,-14.751615,-14.462699,-45.661053,49.848080,22.696051,110.252960,-3.077212,-69.453690,110.604683,15.879415,-106.501831,,,
21,0,-57.549805,-12.409313,-18.256046,67.757690,-14.760573,-14.441253,-45.653019,49.885506,22.740993,110.285919,-3.081228,-69.441765,110.605309,15.857836,-106.474983,,,
22,0,-57.517910,-12.508029,-18.210894,67.753738,-14.781627,-14.469028,-45.658375,49.827393,22.697372,110.303413,-3.118280,-69.436386,110.605148,15.846081,-106.463257,,,
23,0,-57.523273,-12.485164,-18.219215,67.768127,-14.788571,-14.432405,-45.643654,49.784218,22.725220,110.313072,-3.124149,-69.436394,110.656326,15.802225,-106.477943,,,
24,0,-57.512386,-12.461673,-18.208952,67.792938,-14.805329,-14.443612,-45.432644,49.913628,22.833309,110.279800,-3.142966,-69.467499,110.656105,15.795801,-106.486008,,,
25,0,-57.522804,-12.552810,-18.219065,67.802483,-14.800171,-14.440072,-45.413528,49.899433,22.834913,110.331894,-3.168579,-69.423615,110.658272,15.758948,-106.498238,,,
26,0,-57.522655,-12.513562,-18.235586,67.808228,-14.787450,-14.417324,-45.621326,49.807457,22.682356,110.305847,-3.180060,-69.457817,110.665977,15.747166,-106.438972,,,
27,0,-57.527523,-12.486358,-18.197266,67.799782,-14.795155,-14.428490,-45.615402,49.825108,22.668182,110.317924,-3.174406,-69.438416,110.654564,15.757143,-106.511803,,,
28,0,-57.497108,-12.617124,-18.142126,67.807877,-14.787931,-14.454815,-45.429977,49.926888,22.804962,110.293678,-3.167499,-69.493050,110.658211,15.755255,-106.514153,,,
29,0,-57.501709,-12.541194,-18.167162,67.786430,-14.756144,-14.464473,-45.824291,49.670616,22.699001,110.296036,-3.125180,-69.502663,110.653740,15.788094,-106.513214,,,
30,0,-57.549908,-12.395163,-18.248110,67.778488,-14.750402,-14.471660,-45.634857,49.750187,22.839804,110.263512,-3.121552,-69.558067,110.629578,15.796329,-106.522659,,,
31,0,-57.558849,-12.447501,-18.285784,67.791206,-14.725332,-14.511043,-45.468208,49.947693,22.829742,110.256340,-3.093382,-69.606544,110.588509,15.876725,-106.594643,,,
32,0,-57.536251,-12.482883,-18.226843,67.792938,-14.714986,-14.529907,-45.455906,49.907368,22.816507,110.240143,-3.024690,-69.598778,110.585571,15.919656,-106.605461,,,
33,0,-57.548649,-12.394550,-18.257114,67.785301,-14.699695,-14.537957,-45.476845,49.909328,22.772791,110.214973,-3.020580,-69.642250,110.617859,16.114286,-106.964294,,,
34,0,-57.536907,-12.427913,-18.228809,67.797966,-14.685108,-14.539436,-45.458256,49.946095,22.816912,110.481392,-2.985384,-69.392258,110.585526,16.018522,-106.638306,,,
35,0,-57.525307,-12.525237,-18.163668,67.790634,-14.692006,-14.563371,-45.603195,49.821911,22.869293,110.478683,-2.973127,-69.400032,110.582596,16.028465,-106.624878,,,
36,0,-57.546082,-12.468491,-18.208376,67.802841,-14.672387,-14.562750,-45.612843,49.816063,22.847433,110.507294,-2.930699,-69.378609,110.605316,16.033655,-106.627960,,,
37,0,-57.512138,-12.479555,-18.159698,67.827278,-14.638983,-14.549761,-45.569717,49.811672,22.866735,110.531967,-2.927875,-69.378166,110.602585,16.060183,-106.653374,,,
38,0,-57.514408,-12.435015,-18.182964,67.842476,-14.592920,-14.533190,-45.381565,49.966427,22.832584,110.392723,-2.951996,-69.535828,110.631584,16.029314,-106.602997,,,
39,0,-57.473469,-12.565413,-18.140196,67.846420,-14.632035,-14.545657,-45.481033,49.807789,22.866287,110.410400,-2.955460,-69.477631,110.652931,15.990107,-106.604248,,,
40,0,-57.475769,-12.495754,-18.161724,67.845314,-14.630052,-14.547113,-45.463009,49.853302,22.864279,110.432014,-2.954265,-69.471252,110.668266,15.967995,-106.622002,,,
41,0,-57.484566,-12.485240,-18.176119,67.829605,-14.644849,-14.548408,-45.337582,49.986759,22.828671,110.434479,-2.961879,-69.477768,110.691887,15.978198,-106.601685,,,
42,0,-57.468231,-12.417856,-18.147194,67.852142,-14.648629,-14.549285,-45.278194,50.067833,22.847479,110.449951,-2.964693,-69.493958,110.671272,15.963738,-106.610611,,,
43,0,-57.479240,-12.453954,-18.190317,67.849487,-14.641793,-14.548762,-45.273888,50.068497,22.825043,110.419464,-2.948201,-69.532982,110.666748,15.953611,-106.609749,,,
44,0,-57.482883,-12.544363,-18.177061,67.853172,-14.638203,-14.561930,-45.317650,50.071983,22.831112,110.369392,-2.964980,-69.586525,110.633713,15.979089,-106.666481,,,
45,0,-57.528984,-12.395231,-18.247950,67.832733,-14.613008,-14.585119,-45.356209,50.121708,22.822027,110.550850,-2.941252,-69.430916,110.654991,16.010830,-106.668343,,,
46,0,-57.522903,-12.406896,-18.172014,67.798309,-14.553507,-14.604442,-45.474072,50.053764,22.754677,110.521782,-2.897116,-69.436707,110.608238,16.040449,-106.659935,,,
47,0,-57.539539,-12.321454,-18.221479,67.771049,-14.557022,-14.646411,-45.652473,49.899788,22.764778,110.504341,-2.862159,-69.458733,110.577599,16.067301,-106.660843,,,
48,0,-57.554005,-12.316463,-18.277754,67.785919,-14.556650,-14.655158,-45.638756,49.952030,22.807175,110.469391,-2.838609,-69.467400,110.552193,16.097244,-106.667000,,,
49,0,-57.587852,-12.266974,-18.378616,67.777016,-14.497804,-14.634633,-45.487404,50.151756,22.767235,110.488701,-2.816289,-69.489525,110.498695,16.122204,-106.689331,,,
50,0,-57.586029,-12.392329,-18.192287,67.792412,-14.481167,-14.624484,-45.511120,50.075005,22.766916,110.497688,-2.800888,-69.459808,110.522171,16.134581,-106.697731,,,
51,0,-57.566902,-12.375246,-18.253933,67.798859,-14.480548,-14.622350,-45.501312,50.106865,22.737051,110.492043,-2.781168,-69.471725,110.516594,16.159513,-106.709969,,,
52,0,-57.601231,-12.308990,-18.310041,67.801178,-14.501927,-14.620426,-45.493969,50.080425,22.720633,110.487938,-2.792005,-69.491936,110.544479,16.118382,-106.700333,,,
53,0,-57.538761,-12.377154,-18.216593,67.820091,-14.510116,-14.615272,-45.634563,49.954430,22.778997,110.506683,-2.809502,-69.484894,110.548195,16.124630,-106.694641,,,
54,0,-57.526421,-12.382465,-18.221312,67.829391,-14.532213,-14.595833,-45.448090,50.122269,22.748764,110.530182,-2.801846,-69.459099,110.617477,16.094635,-106.670486,,,
55,0,-57.514767,-12.464458,-18.186625,67.858047,-14.538079,-14.618814,-45.427036,50.085270,22.741535,110.540459,-2.821892,-69.477928,110.613777,16.090910,-106.697273,,,
56,0,-57.502193,-12.444114,-18.182089,67.862358,-14.557693,-14.628049,-45.372398,50.141399,22.768856,110.410416,-2.868271,-69.637970,110.636993,16.079578,-106.705238,,,
57,0,-57.478176,-12.361421,-18.199503,67.889435,-14.557731,-14.624637,-45.330128,50.157413,22.749397,110.423538,-2.878263,-69.635391,110.633286,16.073330,-106.705017,,,
58,0,-57.461899,-12.371137,-18.204460,67.915756,-14.574862,-14.623874,-45.308029,50.147915,22.771160,110.444946,-2.880824,-69.624565,110.656952,16.258923,-107.082527,,,
59,0,-57.446072,-12.429241,-18.143230,67.944656,-14.575835,-14.618526,-45.257408,50.165573,22.823399,110.605591,-2.865386,-69.498817,110.672836,16.073471,-106.780396,,,
60,0,-57.426003,-12.447239,-18.163584,67.958611,-14.563277,-14.628897,-45.183426,50.162632,22.850676,110.474236,-2.890826,-69.659187,110.688622,16.033268,-106.826973,,,
61,0,-57.409214,-12.413516,-18.186279,67.976395,-14.546933,-14.623147,-45.148586,50.205631,22.788809,110.646431,-2.886542,-69.537239,110.721893,16.190435,-107.128899,,,
62,0,-57.395802,-12.389989,-18.202024,68.005959,-14.546925,-14.648171,-45.092964,50.283306,22.834520,110.650551,-2.874812,-69.517647,110.711151,16.028740,-106.837669,,,
63,0,-57.399921,-12.265112,-18.287914,68.037361,-14.501739,-14.660615,-45.034451,50.283993,22.813101,110.547600,-2.904502,-69.652107,110.771431,16.063818,-106.841980,,,
64,0,-57.366413,-12.231931,-18.230028,68.045059,-14.498565,-14.703863,-44.985062,50.296860,22.833189,110.561890,-2.844806,-69.685394,110.774185,16.062782,-106.843498,,,
65,0,-57.306320,-12.348543,-18.183165,68.076332,-14.465983,-14.699899,-44.920895,50.298920,22.774689,110.752419,-2.829605,-69.568787,110.813896,16.080097,-106.846420,,,
66,0,-57.295410,-12.358367,-18.149199,68.118126,-14.441630,-14.685811,-44.907562,50.324173,22.813074,110.603584,-2.796063,-69.713867,110.849037,16.145372,-106.869659,,,
67,0,-57.286263,-12.367704,-18.198967,68.128632,-14.453687,-14.724081,-44.879314,50.340012,22.798779,110.798637,-2.746196,-69.583466,110.841049,16.166994,-106.872543,,,
68,0,-57.246773,-12.401804,-18.147873,68.162323,-14.451917,-14.726158,-44.857594,50.386372,22.774269,110.825638,-2.750787,-69.606537,110.854301,16.237944,-106.894424,,,
69,0,-57.270409,-12.239682,-18.214590,68.216759,-14.390219,-14.735478,-44.882099,50.374275,22.719166,110.656250,-2.740725,-69.793991,110.864487,16.257544,-106.934410,,,
70,0,-57.214661,-12.305632,-18.197178,68.199318,-14.361676,-14.760769,-45.026577,50.295177,22.634365,110.685066,-2.653135,-69.794479,110.860710,16.284107,-106.916496,,,
71,0,-57.191750,-12.315633,-18.155230,68.210304,-14.366747,-14.761448,-45.218948,50.246162,22.470129,110.862457,-2.667104,-69.642502,110.881851,16.275473,-106.899666,,,
72,0,-57.233490,-12.283031,-18.209974,68.225014,-14.358647,-14.762974,-45.214794,50.260777,22.453489,110.881142,-2.633072,-69.638878,110.920547,16.310566,-106.905174,,,
73,0,-57.236931,-12.254574,-18.248627,68.217224,-14.346539,-14.776411,-45.192902,50.284973,22.474430,110.880890,-2.633692,-69.638283,110.903030,16.275757,-106.884239,,,
74,0,-57.211475,-12.227759,-18.235653,68.208710,-14.320332,-14.770045,-45.203278,50.265598,22.441477,110.863785,-2.631522,-69.643562,110.919510,16.304995,-106.897179,,,
75,0,-57.235825,-12.205117,-18.204000,68.192574,-14.328274,-14.778194,-45.203342,50.247482,22.423525,110.881096,-2.658839,-69.640656,110.901657,16.268702,-106.861778,,,
76,0,-57.248238,-12.214311,-18.202940,68.182312,-14.297956,-14.770294,-45.204834,50.265762,22.452221,110.831337,-2.647029,-69.646179,110.856743,16.266783,-106.869171,,,
77,0,-57.241909,-12.235247,-18.207472,68.192482,-14.297725,-14.762777,-45.223816,50.317047,22.489054,110.815018,-2.610646,-69.646790,110.828224,16.261225,-106.930717,,,
78,0,-57.231106,-12.242541,-18.170496,68.163567,-14.333842,-14.759249,-45.228775,50.322205,22.481297,110.769699,-2.633299,-69.682602,110.807556,16.250000,-106.933823,,,
79,0,-57.258377,-12.232442,-18.226830,68.155754,-14.340846,-14.779152,-45.049343,50.453762,22.620415,110.773468,-2.639729,-69.680191,110.784225,16.253761,-106.940254,,,
80,0,-57.247822,-12.252992,-18.197002,68.151398,-14.355220,-14.780779,-45.255180,50.288044,22.515072,110.770149,-2.633438,-69.682343,110.785332,16.254938,-106.948349,,,
81,0,-57.251766,-12.274154,-18.223135,68.152321,-14.351055,-14.791627,-45.076931,50.299713,22.620455,110.790329,-2.661251,-69.708580,110.811012,16.221642,-106.941940,,,
