Trajectories
100
,,Y_Hara_Hand:forearm,,,Y_Hara_Hand:mp,,,Y_Hara_Hand:PIP,,,Y_Hara_Hand:DIP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,50.701363,24.823185,24.081722,22.128231,64.548485,54.406399,-23.956160,92.954514,61.023796,-145.924210,177.109421,39.376804
2,0,50.694012,24.824501,24.096207,22.118382,64.557144,54.392117,-23.980112,92.989632,61.006634,-145.894043,177.101013,39.346676
3,0,50.675865,24.821424,24.077946,22.119539,64.559502,54.408516,-23.995035,92.968819,61.000961,-145.942337,177.105133,39.320229
4,0,50.697254,24.801720,24.082769,22.099613,64.541183,54.396263,-23.985355,92.948997,60.987457,-145.910751,177.070969,39.314793
5,0,50.714962,24.808378,24.060497,22.116297,64.525902,54.380173,-23.967842,92.905067,60.991394,-145.919159,177.029785,39.307293
6,0,50.701862,24.790474,24.077976,22.100153,64.514992,54.436119,-23.968245,92.939995,61.028877,-145.921494,177.018799,39.327702
7,0,50.712780,24.781025,24.069136,22.102545,64.499519,54.441700,-23.984653,92.900757,61.020439,-145.887680,177.036697,39.363434
8,0,50.720139,24.790211,24.061380,22.101374,64.498924,54.445034,-23.947128,92.897774,61.041016,-145.862656,176.992081,39.386448
9,0,50.702835,24.780807,24.067287,22.151230,64.493340,54.443771,-23.932524,92.903458,61.054882,-145.850616,177.016922,39.362080
10,0,50.705631,24.773510,24.075916,22.124414,64.502899,54.413158,-23.931812,92.942314,61.032005,-145.854645,177.014297,39.288151
11,0,50.712688,24.798103,24.040600,22.126110,64.510513,54.416565,-23.938478,92.951302,61.010334,-145.779221,176.954254,39.284893
12,0,50.710842,24.772831,24.056116,22.165232,64.515930,54.405712,-23.904455,92.956451,61.030312,-145.854630,177.020569,39.311512
13,0,50.607941,24.805262,24.012709,22.165354,64.515762,54.413101,-23.902420,92.977272,61.006073,-145.836533,176.965805,39.298210
14,0,50.666008,24.809139,24.051592,22.156462,64.511192,54.398033,-23.903883,92.977417,61.006931,-145.854294,177.019180,39.294121
15,0,50.667343,24.808199,24.051937,22.162178,64.509361,54.405258,-23.898001,92.971840,61.014320,-145.873749,176.988892,39.293957
16,0,50.666515,24.811384,24.068186,22.133545,64.504662,54.401203,-23.918734,92.976456,61.013939,-145.875504,176.988327,39.257053
17,0,50.659309,24.806849,24.078644,22.161627,64.506432,54.413151,-23.928152,92.981857,61.011730,-145.854004,177.019485,39.294853
18,0,50.639423,24.804455,24.056644,22.097078,64.503624,54.400475,-23.917021,92.976494,60.992321,-145.852386,176.970535,39.231091
19,0,50.675426,24.781847,24.057478,22.124409,64.493706,54.418362,-23.927210,92.959824,61.017529,-145.887604,176.981293,39.239429
20,0,50.659451,24.799335,24.059763,22.091969,64.488892,54.389816,-23.944563,92.959785,61.017376,-145.910156,176.995605,39.255367
21,0,50.662437,24.784790,24.057199,22.083586,64.482994,54.395355,-23.945807,92.929283,61.016575,-145.921585,176.932343,39.236271
22,0,50.662926,24.799341,24.061104,22.079939,64.483650,54.425598,-23.970055,92.952827,61.014118,-145.943604,176.944366,39.226360
23,0,50.666969,24.783630,24.059231,22.075939,64.490929,54.409397,-23.964174,92.939804,61.018456,-145.938705,176.943130,39.250591
24,0,50.683849,24.782707,24.060455,22.071173,64.487442,54.409435,-23.976360,92.932747,61.004875,-145.926208,176.923340,39.214821
25,0,50.657230,24.795319,24.081907,22.057789,64.497780,54.401794,-23.982258,92.927399,60.977230,-146.004166,176.934265,39.215542
26,0,50.647465,24.799713,24.080776,22.050491,64.499329,54.342617,-23.992422,92.931137,60.968067,-145.960938,176.916290,39.199715
27,0,50.628887,24.802765,24.058268,22.008162,64.521454,54.360931,-24.030293,92.980225,60.957893,-146.066605,176.978760,39.222569
28,0,50.622433,24.814455,24.071789,22.027271,64.502151,54.362099,-24.022482,92.953651,60.963680,-146.013123,176.953903,39.228611
29,0,50.637753,24.824953,24.069775,22.004166,64.533951,54.369492,-24.046217,92.975174,60.963490,-146.044022,176.960342,39.226509
30,0,50.630497,24.821302,24.073330,22.008205,64.532700,54.358047,-24.042912,92.974922,60.958195,-146.030548,176.994934,39.233303
31,0,50.632099,24.825026,24.073896,22.025616,64.535942,54.345600,-24.048676,92.970268,60.933868,-146.034592,176.993668,39.262428
32,0,50.614464,24.828066,24.079432,22.020582,64.529037,54.351467,-24.032530,92.975220,60.954678,-146.031998,176.991577,39.258350
33,0,50.619431,24.822714,24.064409,22.022480,64.541817,54.363525,-24.028721,92.987549,60.952560,-146.002167,176.995117,39.264206
34,0,50.636063,24.825130,24.068615,22.039888,64.548439,54.349480,-24.017126,93.012886,60.903934,-146.024460,177.061508,39.256802
35,0,50.643044,24.828588,24.075289,22.037600,64.572426,54.326775,-24.003031,93.053368,60.906311,-145.957291,177.068497,39.165161
36,0,50.654251,24.831463,24.058527,22.091667,64.585617,54.319656,-23.960970,93.090576,60.873669,-145.883865,177.116882,39.128811
37,0,50.673882,24.842274,24.092133,22.120695,64.609642,54.320919,-23.916115,93.073563,60.819057,-145.877319,177.166031,39.073364
38,0,50.678890,24.847422,24.100212,22.145943,64.633873,54.305267,-23.912249,93.113441,60.801765,-145.829407,177.200134,39.039749
39,0,50.686260,24.834600,24.085262,22.167786,64.658714,54.304806,-23.888620,93.163315,60.787048,-145.790695,177.238647,38.983791
40,0,50.704849,24.839712,24.090309,22.176809,64.670105,54.292233,-23.884521,93.189919,60.761322,-145.746933,177.304443,38.983181
41,0,50.682629,24.848803,24.078928,22.188925,64.694611,54.273571,-23.875046,93.231239,60.745049,-145.748138,177.296127,38.944771
42,0,50.686569,24.846340,24.082138,22.178312,64.699013,54.262047,-23.871065,93.231407,60.722557,-145.759277,177.308487,38.897614
43,0,50.689274,24.847069,24.091719,22.178310,64.718307,54.271782,-23.872595,93.247780,60.715836,-145.782227,177.357773,38.849926
44,0,50.713451,24.842796,24.091928,22.141079,64.718857,54.255386,-23.876261,93.254990,60.694801,-145.751816,177.301270,38.812508
45,0,50.700672,24.845989,24.088472,22.148384,64.694382,54.220707,-23.895769,93.262749,60.642189,-145.759521,177.334778,38.789806
46,0,50.700245,24.847006,24.103094,22.127321,64.752411,54.222919,-23.896557,93.295128,60.594120,-145.681198,177.275497,38.642357
47,0,50.710587,24.853786,24.098232,22.182085,64.776604,54.198650,-23.872030,93.315994,60.574547,-145.672546,177.341568,38.656792
