Trajectories
100
,,Y_Hara_Hand:forearm,,,Y_Hara_Hand:mp,,,Y_Hara_Hand:PIP,,,Y_Hara_Hand:DIP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,132.136337,167.108551,20.827793,115.022949,192.358276,74.277550,63.527092,204.206680,96.571777,-80.127762,259.009216,74.576111
2,0,131.825928,167.180084,21.366566,114.006714,192.608368,74.392487,62.544426,204.586105,96.535454,-80.773964,259.136688,74.272240
3,0,131.651108,167.321991,21.698326,113.147926,192.769684,74.434540,61.726414,204.970245,96.368629,-81.514809,259.281677,73.989189
4,0,131.453690,167.524857,21.800797,112.604248,193.214951,74.222214,61.155060,205.307541,96.111130,-82.090492,259.441956,73.659584
5,0,131.394958,167.647461,21.806107,112.191010,193.646225,73.860023,60.698044,205.642792,95.763756,-82.412193,259.680725,73.244003
6,0,131.366516,167.660019,21.641903,111.719368,193.764343,73.383522,60.373962,205.837143,95.357414,-82.704430,259.844757,72.843285
7,0,131.391037,167.735504,21.334127,111.368622,193.618835,72.885452,60.108253,205.980347,94.870232,-82.915581,259.960449,72.533073
8,0,131.439865,167.771362,21.077433,111.129158,193.579697,72.381264,59.903812,205.888443,94.438515,-83.028305,259.897217,72.206696
9,0,131.512070,167.948471,20.878588,110.939301,193.570572,72.039413,59.727711,205.711288,94.115562,-83.242538,259.840179,72.059082
10,0,131.643097,168.114624,20.569477,110.805603,193.409103,71.710327,59.498219,205.281387,93.686615,-83.257751,259.514954,71.852493
11,0,131.831436,168.161942,20.459921,110.697754,193.203720,71.503853,59.302761,204.904144,93.358246,-83.416779,259.236603,71.676582
12,0,132.090500,168.253448,20.453278,110.521461,193.028076,71.357773,59.042080,204.661255,93.097984,-83.622154,258.942780,71.456604
13,0,132.440704,168.346878,20.626450,110.331612,192.863785,71.232376,58.730316,204.256744,92.902374,-84.316086,259.139008,71.367218
14,0,132.908737,168.409073,21.007980,109.992363,192.630905,71.179085,58.392597,203.879608,92.731194,-84.514099,258.785614,71.147522
15,0,133.653091,168.475784,21.505869,109.669914,192.330078,71.044151,58.022556,203.464783,92.548409,-84.845642,258.457825,71.001801
16,0,134.484482,168.573074,22.067156,109.304817,192.007950,70.821884,57.602757,202.995895,92.339066,-85.299751,258.090515,70.967636
17,0,135.210114,168.726196,22.764135,108.935799,191.750671,70.645638,57.192375,202.513840,92.302086,-85.762268,257.703094,71.034431
18,0,135.752563,168.891220,23.698456,108.587875,191.554443,70.646698,56.856873,202.350372,92.467644,-86.045723,257.102417,71.120399
19,0,136.164612,169.021637,24.719599,108.186378,191.347107,70.711693,56.559353,202.305695,92.921532,-86.763618,257.028656,71.484985
20,0,136.443680,169.080414,25.936552,107.777275,191.103043,70.912735,56.228554,202.272842,93.428543,-87.058311,256.799652,71.785591
21,0,136.592239,169.078201,27.118528,107.388130,190.828964,71.186783,56.046436,202.222672,94.073235,-87.494446,256.684662,72.214088
22,0,136.824631,169.141464,28.419109,107.044395,190.532303,71.595047,55.878460,202.206711,94.811005,-87.994438,256.572937,72.823090
23,0,136.995712,169.331070,29.828337,106.766159,190.291336,72.163727,55.745316,202.163071,95.682495,-88.826302,256.720520,73.651337
24,0,137.362717,169.789307,31.390421,106.541481,190.205460,73.000389,55.635231,202.090775,96.757500,-88.962311,256.103607,74.467857
25,0,137.957108,170.525146,33.389000,106.421959,190.402863,74.287766,55.447655,202.011261,97.953308,-89.595284,255.815689,75.496498
26,0,138.869217,171.459229,36.087955,106.379219,190.782120,76.155045,55.107304,201.882477,99.260323,-90.047836,255.288330,76.488319
27,0,140.063293,172.592010,39.722839,106.220757,191.329193,78.604073,54.661358,201.858582,100.795166,-90.527412,254.778351,77.525513
28,0,141.391571,173.794128,44.125706,105.994827,191.901688,81.550415,53.996208,201.865906,102.699089,-91.258820,254.276367,78.782043
29,0,142.503860,175.314468,48.797176,105.678719,192.559479,84.907845,53.161934,201.936478,104.726700,-91.723259,253.414368,79.953964
30,0,143.433914,176.797516,53.750660,105.224449,193.469711,88.720749,52.209110,201.972000,106.946487,-92.917068,253.121552,81.409042
31,0,144.063568,178.027618,58.895580,104.586021,194.240250,92.684113,51.079296,201.829651,109.313309,-93.894577,252.662659,82.830856
32,0,144.305649,178.705750,64.066986,103.611053,194.650070,96.757874,49.784775,201.642502,111.824226,-95.030266,252.307205,84.251671
33,0,144.077362,178.641907,69.281097,102.442368,194.512741,100.854309,48.407749,201.333252,114.483566,-96.704826,252.332443,85.741028
34,0,143.445480,177.856628,74.282272,101.065392,193.901306,105.102631,46.816219,200.884354,117.177788,-97.577538,251.480133,87.087997
35,0,142.525208,176.568970,79.222687,99.447998,192.778137,109.213211,45.027725,200.209747,119.858421,-99.184769,251.183182,88.485252
36,0,141.341431,174.719482,83.969551,97.645859,191.355286,113.313026,43.188869,199.178955,122.455650,-100.030464,250.036423,89.639244
37,0,139.922592,172.471909,88.422951,95.649071,189.526886,117.215660,41.198147,197.836807,124.959465,-101.387840,249.058960,90.771828
38,0,138.285004,169.742722,92.489838,93.660133,187.266479,120.829285,39.219070,196.115387,127.269836,-102.727509,247.858902,91.775826
39,0,136.449783,166.651093,96.199883,91.484932,184.710785,124.085701,37.087975,194.100861,129.371445,-103.905434,246.354980,92.479156
40,0,134.529129,163.005676,99.301498,89.261841,181.685745,126.828033,35.031521,191.614151,131.095703,-105.258324,244.848694,93.166534
41,0,132.387024,158.773315,101.917259,86.985359,178.224350,129.055054,32.909702,188.713440,132.479523,-106.451736,243.031769,93.655670
42,0,130.100647,153.938477,103.756432,84.754761,174.081482,130.672928,30.836956,185.316437,133.409531,-107.660736,241.026016,93.948616
43,0,127.639519,148.513702,105.032478,82.377632,169.528870,131.751389,28.752932,181.468613,133.987823,-108.959404,238.844543,94.146912
44,0,125.064003,142.501846,105.730194,79.977287,164.301254,132.331711,26.644260,177.200790,134.196289,-110.204117,236.325592,94.157059
45,0,122.293648,136.048782,105.917358,77.495293,158.710236,132.481140,24.417128,172.544052,134.083191,-111.541306,233.666367,94.127678
46,0,119.301186,129.143509,105.699593,74.916306,152.671768,132.203247,22.166876,167.526566,133.652359,-112.798851,230.849808,93.890900
47,0,116.082893,121.720146,105.191147,72.201469,146.311966,131.606110,19.778793,162.253632,132.973984,-114.504646,227.874466,93.143028
48,0,112.653259,114.056915,104.326965,69.313179,139.763962,130.693954,17.438255,156.657944,131.978760,-115.842659,224.750809,92.414719
49,0,108.858910,105.854385,103.276459,66.272873,132.864471,129.683136,14.849639,151.274902,130.942123,-117.072662,221.531143,91.499924
50,0,104.755898,97.301575,102.040726,63.085712,125.695915,128.453568,12.283405,145.853928,129.715424,-118.045601,218.442368,90.542801
51,0,100.463043,88.651825,100.578735,59.790775,118.479294,127.051338,9.794426,140.357880,128.252472,-119.247147,215.875076,89.552063
52,0,96.037750,80.065048,98.971611,56.355824,111.176842,125.513374,7.301629,134.906494,126.586464,-120.343033,213.318375,88.260231
53,0,91.871346,72.076546,96.976372,52.992722,104.183311,123.670677,4.882987,129.422592,124.736519,-121.354843,210.730927,87.088181
54,0,88.021988,64.659508,94.662827,49.912140,97.513451,121.645248,2.528188,123.995987,122.775734,-122.559502,205.230927,84.726166
