Trajectories
100
,,Y_Hara_Hand:forearm,,,Y_Hara_Hand:mp,,,Y_Hara_Hand:PIP,,,Y_Hara_Hand:DIP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,68.760597,41.448757,25.466139,32.207031,75.840691,52.739021,-15.055157,98.875435,59.343182,-149.558075,177.592285,45.671791
2,0,68.732033,41.495193,25.484856,32.199326,75.849144,52.725491,-15.059443,98.864662,59.344921,-149.583786,177.555038,45.697758
3,0,68.723633,41.500362,25.489859,32.165348,75.797256,52.715908,-15.118758,98.851257,59.353111,-149.672318,177.477676,45.698803
4,0,68.710297,41.496723,25.479818,32.138607,75.800720,52.709747,-15.145415,98.830811,59.340080,-149.720749,177.448486,45.675892
5,0,68.702019,41.492714,25.456238,32.134396,75.801033,52.721668,-15.183169,98.831223,59.336670,-149.552780,175.825928,44.862267
6,0,68.705849,41.489857,25.481813,32.096260,75.794067,52.729198,-15.184513,98.808243,59.324379,-149.822189,177.248260,45.626232
7,0,68.698982,41.489025,25.470278,32.082954,75.771057,52.719234,-15.203655,98.770790,59.341217,-149.880157,177.165451,45.663746
8,0,68.700821,41.485470,25.485096,32.042583,75.787636,52.714218,-15.193083,98.754707,59.350754,-149.936783,177.044052,45.652122
9,0,68.700760,41.483070,25.477730,32.021793,75.785194,52.714413,-15.195936,98.721115,59.374405,-149.962082,176.971786,45.644936
10,0,68.691032,41.486065,25.481503,31.990242,75.762619,52.724308,-15.198542,98.699989,59.384407,-149.967377,176.914749,45.704029
11,0,68.700119,41.464832,25.480675,31.993502,75.741386,52.762722,-15.240944,98.678383,59.436535,-150.053192,176.840469,45.683460
12,0,68.688690,41.451443,25.507793,32.174026,75.637459,52.761600,-15.244138,98.665176,59.437962,-150.051117,176.823563,45.705086
13,0,68.628944,41.455799,25.490007,32.015438,75.669083,52.778328,-15.208216,98.624573,59.475182,-150.059860,176.771851,45.744484
14,0,68.678665,41.450848,25.497959,32.031731,75.666473,52.790211,-15.213734,98.635384,59.472370,-149.565613,174.771210,44.855785
15,0,68.701584,41.444233,25.481504,32.205936,75.635071,52.776218,-15.208653,98.624542,59.483242,-149.785858,175.166138,44.999645
16,0,68.676788,41.449036,25.511702,32.198059,75.622879,52.784744,-15.191176,98.634186,59.506653,-150.129990,176.619492,45.732300
17,0,68.699326,41.448170,25.512274,32.208763,75.623901,52.799107,-15.176291,98.623917,59.522785,-149.749222,175.156128,45.106133
18,0,68.701111,41.443790,25.494736,32.204510,75.619217,52.808331,-15.177969,98.603889,59.552227,-149.774994,175.215439,45.145103
19,0,68.632027,41.432209,25.506670,32.198917,75.582359,52.825691,-15.204224,98.589249,59.554890,-150.085037,176.597977,45.853806
20,0,68.699791,41.444920,25.500877,32.193214,75.544632,52.841976,-15.193085,98.543755,59.597847,-149.792984,175.208420,45.219460
21,0,68.730133,41.401482,25.500263,32.202255,75.540642,52.862579,-15.195538,98.547997,59.631844,-149.772964,175.227753,45.275608
22,0,68.729141,41.395885,25.482447,32.215351,75.517159,52.857731,-15.120593,98.486107,59.645470,-149.508453,174.627472,45.125580
23,0,68.734741,41.385914,25.478403,32.246502,75.487839,52.875984,-15.093622,98.467934,59.652016,-149.315277,174.378113,44.982983
24,0,68.740936,41.370266,25.481127,32.269135,75.492645,52.830421,-15.123109,98.504776,59.652245,-149.676971,175.195374,45.343796
25,0,68.751183,41.374989,25.477053,32.284855,75.519646,52.890015,-15.085359,98.491379,59.664608,-149.666779,175.207474,45.366810
26,0,68.741234,41.368149,25.483019,32.303654,75.522736,52.905121,-15.000790,98.477051,59.679428,-149.694641,175.239990,45.372097
27,0,68.746849,41.369614,25.472704,32.310768,75.530106,52.914711,-15.064283,98.513672,59.684608,-149.683136,175.243317,45.397583
28,0,68.773590,41.363052,25.480164,32.289055,75.519264,52.903805,-15.013405,98.455704,59.676098,-149.686096,175.327667,45.415928
29,0,68.756912,41.375427,25.478519,32.292549,75.519173,52.895763,-15.055882,98.498825,59.705677,-149.664459,175.331741,45.459850
30,0,68.744507,41.367191,25.484182,32.285511,75.487862,52.934223,-15.081635,98.473618,59.701771,-149.686691,175.340210,45.419090
31,0,68.744812,41.374096,25.478006,32.229469,75.480637,52.907814,-15.094349,98.423256,59.704803,-149.659653,175.305145,45.416233
32,0,68.729172,41.353943,25.470161,32.223938,75.461060,52.896572,-15.098883,98.410873,59.707233,-149.671097,175.248383,45.407162
33,0,68.693573,41.353985,25.476233,32.200417,75.449036,52.881893,-15.160469,98.419640,59.666355,-149.707794,175.298798,45.412575
34,0,68.686821,41.369072,25.479065,32.187584,75.434845,52.875370,-15.131887,98.388336,59.636356,-149.685593,175.253036,45.379116
35,0,68.609108,41.363049,25.451363,32.150475,75.474480,52.845840,-15.213424,98.426636,59.602207,-149.452316,174.659897,45.175194
36,0,68.637909,41.355930,25.473284,32.136330,75.499458,52.830246,-15.234711,98.429886,59.574207,-149.327896,174.374741,44.952515
37,0,68.642792,41.355576,25.475580,32.110260,75.489479,52.813438,-15.258183,98.464088,59.533272,-149.781418,175.320526,45.297012
38,0,68.586815,41.396023,25.451366,32.092716,75.476700,52.801613,-15.291306,98.487160,59.511913,-150.078491,176.723618,45.974438
39,0,68.629593,41.415543,25.480337,32.085922,75.519943,52.769684,-15.286551,98.471802,59.484272,-150.081284,176.710587,45.898319
40,0,68.607956,41.407928,25.472834,32.042889,75.509361,52.776978,-15.327240,98.492828,59.451160,-150.138947,176.764282,45.891403
41,0,68.535614,41.411259,25.483742,32.037296,75.510017,52.742123,-15.338546,98.503906,59.419243,-150.180771,176.725677,45.805035
42,0,68.581032,41.413139,25.493179,32.040058,75.532211,52.729721,-15.351432,98.501556,59.411015,-150.153809,176.735962,45.835110
43,0,68.547394,41.409622,25.477062,31.999338,75.513359,52.749172,-15.356898,98.489349,59.434017,-149.866714,175.237137,45.078663
44,0,68.536423,41.399750,25.497623,31.988733,75.500168,52.775375,-15.383005,98.464310,59.463799,-149.880402,175.245972,45.082047
45,0,68.567719,41.395447,25.490044,32.013954,75.469276,52.784294,-15.387878,98.449089,59.450848,-150.212036,176.564621,45.742123
46,0,68.577736,41.417793,25.505743,32.003666,75.486572,52.779369,-15.393184,98.446434,59.475361,-149.964935,175.239059,45.106033
47,0,68.541740,41.408802,25.492853,32.005898,75.509041,52.797432,-15.391094,98.457237,59.494133,-149.982407,175.168915,45.073143
48,0,68.577431,41.417351,25.505852,31.996716,75.480255,52.803360,-15.385233,98.401733,59.514202,-149.986008,175.114517,45.080582
49,0,68.580421,41.406254,25.476326,32.022820,75.437256,52.810276,-15.383857,98.398659,59.549526,-150.038345,175.040421,45.080750
50,0,68.575188,41.421486,25.475632,32.005936,75.441299,52.827824,-15.428957,98.356743,59.564274,-150.053177,175.038788,45.061790
51,0,68.536430,41.400681,25.497747,31.985510,75.428596,52.846066,-15.396817,98.343048,59.564854,-150.067474,174.953964,45.060360
52,0,68.527000,41.384285,25.498461,31.974342,75.438469,52.843006,-15.402639,98.254318,59.565666,-150.099182,174.882507,45.102837
53,0,68.566223,41.420219,25.509106,31.965849,75.433121,52.847843,-15.425481,98.284821,59.590832,-150.126282,174.915115,45.084721
54,0,68.532433,41.417454,25.494070,31.985712,75.400368,52.828094,-15.402521,98.254234,59.565472,-150.138000,174.851410,45.053108
55,0,68.602577,41.419697,25.505697,31.954906,75.423134,52.848091,-15.431344,98.289124,59.583267,-150.126511,174.821304,45.051388
56,0,68.571541,41.419422,25.509809,31.977375,75.428764,52.846970,-15.428916,98.276199,59.616470,-150.145844,174.785431,45.089405
57,0,68.543983,41.431698,25.505936,32.012470,75.407471,52.837605,-15.467145,98.306114,59.622066,-150.146164,174.782516,45.088024
58,0,68.596207,41.427586,25.491678,31.998728,75.422676,52.849705,-15.442401,98.311127,59.638935,-149.969833,174.252655,44.943779
59,0,68.605057,41.430576,25.524548,32.019817,75.405800,52.846970,-15.396789,98.281853,59.665318,-149.999710,174.259033,45.015507
60,0,68.598389,41.412811,25.502209,32.007542,75.422188,52.877899,-15.425865,98.327858,59.700970,-150.131592,174.660599,45.188690
61,0,68.615555,41.400631,25.523876,32.037884,75.364983,52.899601,-15.418252,98.271309,59.758038,-150.439957,176.035660,45.917953
62,0,68.646553,41.424980,25.474926,32.054096,75.360374,52.914719,-15.360466,98.234482,59.778297,-150.425629,176.050217,45.956055
63,0,68.640739,41.391975,25.513454,32.102722,75.350883,52.939716,-15.375527,98.250237,59.789280,-150.426483,176.003586,45.999157
64,0,68.698471,41.392998,25.518223,32.104820,75.329132,52.983410,-15.355942,98.225998,59.872280,-150.402527,175.988052,46.053318
65,0,68.714691,41.381363,25.484825,32.153046,75.281578,53.014137,-15.380482,98.213219,59.909218,-150.370407,175.949783,46.074440
66,0,68.733849,41.357525,25.499086,32.191593,75.259834,53.038177,-15.355891,98.228889,59.952698,-150.380707,175.899826,46.136639
67,0,68.760208,41.343880,25.468330,32.200581,75.248634,53.058365,-15.346170,98.180283,59.971252,-150.310333,175.864822,46.203751
68,0,68.798897,41.319260,25.451969,32.252262,75.210182,53.065048,-15.342253,98.214127,59.977585,-150.291290,175.860748,46.258644
69,0,68.829674,41.331955,25.450600,32.282108,75.194656,53.081505,-15.168896,98.037560,60.035786,-150.285812,175.826889,46.296459
70,0,68.858688,41.341423,25.456850,32.301823,75.194611,53.087803,-15.259233,98.200768,60.050087,-149.929001,174.376495,45.629189
71,0,68.869484,41.328655,25.463274,32.311111,75.182907,53.108994,-15.247585,98.206711,60.055988,-149.921463,174.326859,45.690449
72,0,68.875282,41.317078,25.478554,32.331272,75.197525,53.132809,-15.056700,98.075867,60.148766,-149.928421,174.419815,45.815144
