Trajectories
100
,,Sano:Wrist,,,Sano:MPH3,,,Sano:PIP3,,,Sano:DIP3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-145.108856,113.084000,43.762550,-13.203855,69.552391,74.157639,41.694504,43.059101,70.834984,65.851151,8.686434,17.350924
2,0,-145.116562,113.054367,43.684513,-13.219978,69.602753,74.129471,41.688744,43.098053,70.800034,65.839294,8.702295,17.340752
3,0,-145.133057,113.042358,43.669292,-13.231977,69.647034,74.096848,41.670628,43.165150,70.781570,65.773659,8.779682,17.380737
4,0,-145.125946,113.082108,43.585587,-13.304150,69.723488,74.059540,41.643330,43.261192,70.753784,65.800102,8.831431,17.372782
5,0,-145.154724,113.127678,43.525856,-13.279452,69.763039,74.000984,41.686573,43.379410,70.706985,65.830452,8.857023,17.380072
6,0,-145.179520,113.101669,43.466866,-13.333851,69.787910,73.917580,41.658108,43.503036,70.645294,65.839157,8.873503,17.406540
7,0,-145.173889,113.097740,43.443512,-13.326905,69.835381,73.849007,41.697983,43.594112,70.617134,65.907234,8.804280,17.429365
8,0,-145.177002,113.117012,43.400478,-13.330725,69.884018,73.788177,41.721428,43.721268,70.551643,65.927719,8.901324,17.428623
9,0,-145.259140,113.152977,43.371006,-13.308733,69.926353,73.722313,41.776093,43.846394,70.531334,65.891403,9.052210,17.404755
10,0,-145.277786,113.125130,43.338352,-13.314211,69.949257,73.682076,41.805225,43.955067,70.456047,65.998726,9.021201,17.472717
11,0,-145.269379,113.113686,43.304966,-13.325612,69.932304,73.677917,41.801071,44.029076,70.465355,66.148621,8.736521,17.515030
12,0,-145.261444,113.112953,43.290318,-13.387176,69.915222,73.674019,41.767601,44.021725,70.453415,65.915726,9.208117,17.437906
13,0,-145.306839,113.137337,43.243679,-13.424727,69.899399,73.671448,41.707699,43.965714,70.487068,65.963287,9.119308,17.465233
14,0,-145.318268,113.147263,43.266422,-13.415750,69.887909,73.668312,41.704948,43.972240,70.481407,65.983154,9.018693,17.478899
15,0,-145.363770,113.100655,43.275867,-13.455653,69.881691,73.649544,41.689301,43.954456,70.486008,65.971680,8.929979,17.488152
16,0,-145.378937,113.082108,43.225391,-13.431645,69.897377,73.637932,41.679436,43.935020,70.470963,65.897842,9.082672,17.451712
17,0,-145.396774,113.102219,43.246189,-13.470579,69.928772,73.624954,41.663673,43.920540,70.482048,65.985489,8.887984,17.509830
18,0,-145.393463,113.106628,43.209373,-13.464990,69.954163,73.608459,41.599571,43.953392,70.491882,65.990280,8.841511,17.510477
19,0,-145.386078,113.088509,43.213715,-13.467684,69.968033,73.598862,41.637012,43.990997,70.451019,65.915482,8.993484,17.486324
20,0,-145.422501,113.111595,43.140121,-13.462341,69.984215,73.557831,41.637386,44.039761,70.427315,66.037704,8.849024,17.482994
21,0,-145.376587,113.101753,43.103252,-13.461937,70.004791,73.514740,41.640602,44.108509,70.412285,66.017174,8.975036,17.469427
22,0,-145.326675,113.080383,43.097660,-13.449134,70.042542,73.484894,41.705112,44.205040,70.374649,65.950195,9.210245,17.430807
23,0,-145.333176,113.065300,43.065891,-13.446454,70.077675,73.444283,41.751305,44.288532,70.308525,66.154655,8.816370,17.491522
24,0,-145.290421,113.053688,43.024700,-13.417625,70.091324,73.425652,41.807732,44.403866,70.235733,65.958908,9.294574,17.405958
25,0,-145.293091,113.054398,43.032562,-13.388313,70.106346,73.412163,41.850174,44.485291,70.223816,66.116074,9.169543,17.418001
26,0,-145.288544,113.104736,43.015659,-13.334419,70.159203,73.400612,41.946953,44.567501,70.208496,66.092506,9.325577,17.417471
27,0,-145.274033,113.116249,43.016438,-13.310677,70.204575,73.385345,41.976337,44.609669,70.197586,66.075371,9.310164,17.393856
28,0,-145.290909,113.082428,43.041985,-13.295375,70.223656,73.383232,41.991669,44.612255,70.194054,65.994583,9.474841,17.328764
29,0,-145.300674,113.097168,43.021126,-13.257738,70.259789,73.391968,42.055634,44.635513,70.181839,66.059792,9.354834,17.383177
30,0,-145.302979,113.112350,43.034122,-13.248424,70.268097,73.390320,42.049984,44.656319,70.182472,65.995552,9.472553,17.360577
31,0,-145.282471,113.135513,43.024677,-13.265535,70.333298,73.339935,42.037792,44.685760,70.169670,66.031822,9.383491,17.373285
32,0,-145.285049,113.130959,42.997749,-13.284167,70.368607,73.305977,42.019821,44.726730,70.138924,66.023239,9.405551,17.370806
33,0,-145.304626,113.173630,42.945942,-13.274574,70.380600,73.304817,42.026558,44.788586,70.119049,65.976959,9.458190,17.394564
34,0,-145.279770,113.203636,42.886318,-13.310672,70.473389,73.245720,41.978722,44.850803,70.116661,65.954163,9.534703,17.384125
35,0,-145.281616,113.219101,42.827076,-13.315803,70.511063,73.221275,41.967373,44.882782,70.090210,65.959305,9.528151,17.379501
36,0,-145.350586,113.234520,42.754353,-13.388081,70.542259,73.169144,41.949787,44.968811,70.060135,65.917595,9.638184,17.365240
37,0,-145.359360,113.230453,42.694733,-13.398872,70.561440,73.113586,41.953842,45.011189,69.989990,65.906769,9.704326,17.350979
38,0,-145.374939,113.235596,42.667500,-13.412685,70.568550,73.065147,41.961887,45.054134,69.992050,65.929489,9.674653,17.370434
39,0,-145.358673,113.205894,42.589783,-13.448318,70.584709,73.023041,41.908592,45.123207,69.944466,65.976395,9.618334,17.373459
40,0,-145.432144,113.235565,42.583611,-13.497632,70.575470,72.956261,41.920223,45.132816,69.935219,65.943069,9.689105,17.354933
41,0,-145.440109,113.157166,42.564121,-13.510337,70.561836,72.941765,41.931877,45.157169,69.933716,66.008980,9.574738,17.381632
42,0,-145.493958,113.148865,42.509129,-13.517451,70.537094,72.917946,41.914497,45.167480,69.916946,65.943092,9.701601,17.342184
43,0,-145.505905,113.180511,42.499603,-13.560693,70.533936,72.882378,41.909431,45.202442,69.918549,65.981071,9.682049,17.335733
44,0,-145.514221,113.173866,42.484840,-13.577795,70.551453,72.831383,41.889938,45.256901,69.894783,65.998093,9.644918,17.346928
45,0,-145.499710,113.168243,42.415012,-13.591990,70.568268,72.803825,41.910091,45.311222,69.836983,66.056137,9.584723,17.373604
46,0,-145.509705,113.171265,42.363831,-13.586267,70.638771,72.720627,41.934818,45.340752,69.816536,65.991035,9.664425,17.339165
47,0,-145.496780,113.207909,42.328793,-13.566578,70.678154,72.702644,41.935066,45.386715,69.797356,66.090195,9.514210,17.370699
48,0,-145.500183,113.209549,42.301624,-13.612888,70.707680,72.612633,41.920433,45.483608,69.740257,65.954201,9.777208,17.300797
49,0,-145.547699,113.220924,42.244003,-13.534576,70.786774,72.575714,41.959591,45.552204,69.699501,65.978882,9.768148,17.325043
50,0,-145.500259,113.233742,42.188389,-13.541786,70.849075,72.531578,41.970657,45.610218,69.678337,66.007370,9.820815,17.319242
51,0,-145.516388,113.252548,42.177399,-13.589663,70.864304,72.470291,41.959511,45.633739,69.675537,66.023087,9.813157,17.277428
52,0,-145.524658,113.270157,42.136574,-13.607976,70.874443,72.464363,41.960159,45.649166,69.658127,66.015434,9.778193,17.320837
53,0,-145.545441,113.258118,42.088478,-13.655686,70.924118,72.421524,41.927345,45.672230,69.658043,65.963097,9.802961,17.314156
54,0,-145.570618,113.251404,42.029877,-13.688317,70.948730,72.379478,41.892448,45.693287,69.624214,65.966171,9.765617,17.317051
55,0,-145.566437,113.239883,41.955128,-13.700348,70.981171,72.291893,41.889317,45.732449,69.613045,65.922142,9.880241,17.292965
56,0,-145.624405,113.243736,41.906528,-13.719739,71.003746,72.233032,41.882587,45.779461,69.539398,65.934174,9.828639,17.313284
57,0,-145.629059,113.227623,41.847771,-13.786817,71.021721,72.173584,41.815060,45.817059,69.539032,66.059875,9.589114,17.356819
58,0,-145.675034,113.248535,41.797699,-13.815156,71.054443,72.106743,41.826298,45.834518,69.507690,66.043358,9.683806,17.345095
59,0,-145.685669,113.247650,41.726807,-13.882856,71.103149,72.075989,41.806438,45.849251,69.499275,65.902504,9.959552,17.287384
60,0,-145.761810,113.270493,41.682159,-13.903116,71.076920,72.021729,41.744419,45.830349,69.485764,66.108864,9.523155,17.385063
61,0,-145.750244,113.263023,41.603127,-13.920588,71.095856,71.975578,41.725853,45.847904,69.465370,65.874733,9.961740,17.274359
62,0,-145.756012,113.233704,41.586124,-13.860987,71.086823,71.851189,41.695995,45.876446,69.448051,65.941437,9.853924,17.313768
63,0,-145.763046,113.240982,41.501831,-13.831686,71.124557,71.799461,41.696453,45.954865,69.395599,66.075287,9.580386,17.340687
64,0,-145.789993,113.272102,41.465431,-13.836520,71.123314,71.710953,41.721897,45.996735,69.359024,66.100044,9.555913,17.322355
65,0,-145.742523,113.295708,41.356049,-13.882246,71.152611,71.634148,41.721275,46.034660,69.286667,66.198502,9.428437,17.383316
66,0,-145.739960,113.354996,41.311203,-13.912976,71.181152,71.553505,41.735401,46.134991,69.247093,66.137436,9.504089,17.340387
67,0,-145.766968,113.405830,41.298161,-13.979227,71.200546,71.536377,41.726990,46.191509,69.203232,66.122688,9.569478,17.322342
68,0,-145.735748,113.423531,41.205383,-13.995070,71.250465,71.469536,41.711182,46.277660,69.187897,66.059326,9.805176,17.257769
69,0,-145.735977,113.510620,41.147350,-13.986684,71.285652,71.392090,41.681099,46.328926,69.135963,66.225189,9.482399,17.349937
70,0,-145.743423,113.589188,41.086071,-14.008636,71.345329,71.315643,41.689491,46.409657,69.084030,65.949348,10.089584,17.233797
71,0,-145.776031,113.697342,41.039349,-14.019118,71.401405,71.257721,41.667522,46.505989,69.041710,66.213692,9.516461,17.343210
72,0,-145.767807,113.782906,41.027397,-14.021608,71.467239,71.191948,41.669239,46.559528,69.012657,65.927696,10.158820,17.219698
73,0,-145.750916,113.848488,40.936749,-14.040275,71.545258,71.139702,41.672626,46.572105,68.986855,66.212723,9.620083,17.351976
74,0,-145.752762,113.953987,40.880127,-14.086550,71.589752,71.074272,41.625977,46.610359,68.945152,65.689651,10.687329,17.105227
75,0,-145.767990,114.062119,40.849670,-14.079715,71.646194,71.029205,41.617203,46.651505,68.943253,65.686562,10.693288,17.091604
76,0,-145.734756,114.170547,40.788002,-14.087985,71.667946,70.977158,41.632576,46.652332,68.919685,65.671089,10.700723,17.041851
77,0,-145.667160,114.183739,40.797127,-14.039476,71.648735,70.966957,41.644833,46.634956,68.885994,65.742004,10.685775,17.028896
78,0,-145.544205,114.137413,40.741966,-14.031950,71.659134,70.918297,41.731632,46.613434,68.870773,65.784248,10.685908,17.002831
79,0,-145.444183,114.177650,40.757793,-13.927834,71.627213,70.881706,41.812740,46.597183,68.890335,65.825485,10.632731,16.934832
80,0,-145.393692,114.185394,40.798153,-13.819336,71.592072,70.911713,41.935425,46.541683,68.914223,65.944298,10.625174,16.921974
81,0,-145.224457,114.164177,40.993515,-13.648998,71.526093,70.987259,42.145321,46.486725,68.925552,66.049149,10.574773,16.858885
82,0,-145.155075,114.182304,41.388981,-13.367970,71.352867,71.219292,42.376026,46.369427,68.994843,66.127701,10.558557,16.778185
83,0,-145.016510,114.233177,42.028522,-12.965585,71.126762,71.718246,42.784348,46.126308,69.199867,66.246964,10.475982,16.681578
84,0,-144.909225,114.424438,42.991615,-12.384137,70.736061,72.589325,43.369999,45.711292,69.523293,66.365662,10.362274,16.594021
85,0,-144.892776,114.793884,44.348183,-11.406686,70.402046,73.897629,44.157597,45.182384,70.014038,66.460945,10.242260,16.489182
86,0,-144.732285,115.194664,46.106678,-10.137964,70.066368,75.624275,45.143559,44.537399,70.618019,66.538948,10.046791,16.468845
87,0,-144.550888,115.720490,48.259472,-8.648439,69.832817,77.741333,46.406219,43.929489,71.320053,66.617882,9.928243,16.557016
88,0,-144.439789,116.391884,50.706867,-6.767295,69.930275,80.235550,47.890350,43.615505,72.360184,66.755066,9.806506,17.113050
