Trajectories
100
,,Sano:Wrist,,,Sano:MPH3,,,Sano:PIP3,,,Sano:DIP3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,51.082397,72.900261,146.382217,214.179199,34.198631,142.859604,256.180359,19.139900,107.486481,284.014709,-11.730299,61.717266
2,0,51.082565,72.899490,146.383942,214.194321,34.207230,142.822159,256.165436,19.156746,107.431496,284.014740,-11.691879,61.679073
3,0,51.079220,72.899918,146.376816,214.204147,34.198265,142.759476,256.067566,19.242104,107.409828,284.008148,-11.683505,61.617294
4,0,51.095253,72.886848,146.377121,214.195312,34.192806,142.744522,256.063477,19.262632,107.365173,284.163879,-11.195355,61.415054
5,0,51.075745,72.861015,146.372253,214.150970,34.202164,142.730591,256.028748,19.269251,107.307465,284.099518,-11.186691,61.342995
6,0,51.071522,72.837875,146.347153,214.135895,34.156235,142.746338,255.998306,19.270645,107.303383,284.084534,-11.195233,61.345123
7,0,51.001617,72.784164,146.391571,214.127151,34.148617,142.749146,255.997177,19.270805,107.311089,283.915833,-11.626979,61.507408
8,0,51.030640,72.788010,146.389435,214.121613,34.134380,142.767914,255.985016,19.244326,107.305214,284.048553,-11.267335,61.383835
9,0,51.050411,72.781158,146.346970,214.097015,34.114590,142.764053,255.979752,19.189865,107.315979,283.906677,-11.670377,61.537033
10,0,51.030350,72.746803,146.359451,214.115921,34.082447,142.762177,255.985535,19.162846,107.323036,283.895813,-11.715135,61.551567
11,0,51.013794,72.729073,146.361740,214.124802,34.033024,142.756317,255.975601,19.095644,107.272438,283.876984,-11.786769,61.576149
12,0,51.062359,72.740112,146.313782,214.112946,34.006714,142.743607,255.980942,19.035130,107.274628,283.874054,-11.877292,61.517517
13,0,51.104233,72.686256,146.280426,214.119904,33.950394,142.716537,255.991486,18.969872,107.235863,283.829437,-11.939792,61.517059
14,0,51.086815,72.681374,146.297867,214.131271,33.918434,142.691360,255.990005,18.942163,107.178528,283.883698,-11.707851,61.377686
15,0,51.089188,72.668808,146.265808,214.140747,33.898994,142.643845,255.974533,18.906294,107.117493,283.764862,-12.043100,61.409344
16,0,51.076492,72.639458,146.276550,214.142410,33.885021,142.582748,255.977814,18.879089,107.013680,283.740601,-12.064192,61.353840
17,0,51.109413,72.629509,146.203598,214.157852,33.851334,142.565491,255.972870,18.860359,107.008568,283.721741,-12.095522,61.308258
18,0,51.140038,72.600723,146.220093,214.198013,33.853458,142.512146,256.014557,18.865688,106.958824,283.765656,-12.114168,61.229294
19,0,51.146000,72.623970,146.189835,214.225067,33.873127,142.479843,256.009766,18.870872,106.906342,283.757568,-12.073674,61.185772
20,0,51.167267,72.642357,146.182083,214.228287,33.882191,142.465454,256.037781,18.871225,106.889328,283.756287,-12.062180,61.155788
21,0,51.228130,72.641678,146.149063,214.224319,33.903854,142.458405,256.027924,18.919579,106.874588,283.764282,-12.046264,61.118362
22,0,51.232864,72.664711,146.131058,214.258926,33.897476,142.427628,256.028809,18.915880,106.880348,283.805603,-11.998324,61.101311
23,0,51.214752,72.670113,146.129410,214.258224,33.944714,142.421036,256.043549,18.952818,106.855888,283.812042,-11.973234,61.081116
24,0,51.232071,72.679657,146.132660,214.252518,33.971733,142.396530,256.027710,18.977003,106.811104,283.822632,-11.942872,61.076332
25,0,51.271374,72.721794,146.075821,214.249512,33.979794,142.384949,256.050903,19.009039,106.788422,283.804413,-11.927320,61.047760
26,0,51.293186,72.742264,145.997437,214.271912,34.019039,142.372498,256.035767,19.050602,106.769257,283.819214,-11.860051,61.023624
27,0,51.270580,72.705292,146.013626,214.261658,34.046131,142.380325,256.057709,19.112318,106.740952,283.857971,-11.789255,60.997768
28,0,51.325756,72.735657,145.991180,214.306351,34.080780,142.356201,256.089264,19.165152,106.755005,283.869568,-11.737479,60.986347
29,0,51.396267,72.753395,145.953171,214.305557,34.092964,142.352066,256.084747,19.191992,106.726585,283.859711,-11.690614,60.941879
30,0,51.351788,72.707237,146.013000,214.317307,34.085506,142.352097,256.120239,19.184227,106.703987,283.916107,-11.690344,60.936924
31,0,51.401611,72.722740,145.946106,214.316360,34.098087,142.350586,256.125458,19.183733,106.700951,283.920258,-11.695121,60.925880
32,0,51.377407,72.701363,145.908417,214.298813,34.093090,142.321594,256.112823,19.199879,106.690544,283.923004,-11.663250,60.893219
33,0,51.385654,72.719521,145.887985,214.328522,34.097118,142.284286,256.112183,19.211391,106.669464,283.934174,-11.662098,60.887272
34,0,51.437115,72.773293,145.837997,214.316238,34.092995,142.264267,256.110107,19.216705,106.605186,283.912689,-11.667062,60.805843
35,0,51.458012,72.787361,145.777100,214.356857,34.111214,142.221603,256.157745,19.196791,106.556587,283.917877,-11.687831,60.763115
36,0,51.567284,72.874802,145.690369,214.360825,34.132824,142.157150,256.178436,19.208282,106.515488,283.866150,-11.695662,60.662411
37,0,51.600239,72.867050,145.643570,214.387680,34.110531,142.116928,256.186005,19.215027,106.438026,283.884460,-11.666939,60.623562
38,0,51.617409,72.833160,145.644974,214.386139,34.102528,142.056137,256.197266,19.223969,106.378738,283.923950,-11.672556,60.554699
39,0,51.676144,72.818680,145.657394,214.426117,34.067898,142.036026,256.298981,19.119591,106.323723,283.940582,-11.661402,60.508411
40,0,51.680588,72.766724,145.664078,214.434052,34.078953,142.023468,256.338074,19.156902,106.289261,283.966766,-11.642326,60.495770
41,0,51.663445,72.744354,145.653625,214.426254,34.051861,142.006378,256.286713,19.229530,106.306549,283.981140,-11.598469,60.472088
42,0,51.662685,72.713005,145.639175,214.435410,34.051815,141.994339,256.334686,19.153975,106.274178,284.003601,-11.603056,60.451923
43,0,51.661976,72.699455,145.647736,214.438965,34.059189,141.976151,256.315247,19.214928,106.267593,284.008667,-11.567142,60.431736
44,0,51.670776,72.694633,145.613907,214.449219,34.050823,141.973877,256.311005,19.214338,106.267273,284.007324,-11.561790,60.427315
45,0,51.640709,72.674507,145.604599,214.449493,34.039658,141.964294,256.358002,19.155525,106.246178,284.085968,-11.367128,60.326145
46,0,51.643867,72.655197,145.619949,214.430344,34.016064,141.937012,256.338745,19.107880,106.238289,283.986725,-11.637969,60.400269
47,0,51.651321,72.637901,145.608582,214.427109,33.973347,141.910980,256.309845,19.040682,106.162865,284.057587,-11.506415,60.279999
48,0,51.682446,72.645668,145.621506,214.424301,33.927341,141.868439,256.272095,19.045723,106.114571,283.992035,-11.562896,60.203079
49,0,51.702148,72.644997,145.611633,214.447632,33.884056,141.824265,256.259430,18.994108,106.094505,283.848358,-11.860494,60.221470
50,0,51.696320,72.645309,145.616394,214.445419,33.874916,141.819366,256.256805,18.969206,106.069748,283.837250,-11.910069,60.189915
51,0,51.675659,72.633904,145.630188,214.424713,33.844444,141.838394,256.215240,18.932474,106.064278,283.815247,-11.923410,60.178360
52,0,51.686184,72.609482,145.628265,214.442368,33.816700,141.838394,256.200836,18.925894,106.092674,283.793976,-11.906345,60.171730
53,0,51.632458,72.582848,145.635681,214.401306,33.834728,141.870071,256.163727,18.918446,106.079269,283.794800,-11.913836,60.180004
54,0,51.614487,72.585022,145.655746,214.372192,33.828075,141.897369,256.131897,18.945648,106.106567,283.789673,-11.872785,60.243210
55,0,51.595509,72.552681,145.659180,214.349579,33.838478,141.942993,256.202179,18.932997,106.187279,283.775177,-11.815637,60.264771
56,0,51.561993,72.583405,145.716675,214.320953,33.847610,141.995270,256.168854,18.958685,106.237061,283.764404,-11.785560,60.338058
57,0,51.509537,72.578339,145.708771,214.322083,33.890572,142.026901,256.099060,18.963039,106.262642,283.765839,-11.727811,60.389641
58,0,51.489380,72.590736,145.726791,214.289185,33.886955,142.051971,256.132172,19.000679,106.319534,283.767059,-11.743143,60.424915
59,0,51.467319,72.603333,145.701065,214.213379,33.915642,142.051941,256.106873,18.979424,106.342567,283.761780,-11.758854,60.463470
60,0,51.455730,72.600113,145.712082,214.233582,33.897717,142.083664,256.095459,18.947931,106.371246,283.712769,-11.801868,60.458958
61,0,51.424423,72.613174,145.726212,214.198029,33.888184,142.078354,255.973434,18.890800,106.329834,283.676300,-11.813512,60.435879
62,0,51.400326,72.629730,145.759827,214.155319,33.859600,142.063660,255.961838,18.873856,106.303444,283.598999,-11.868316,60.422859
63,0,51.337727,72.681580,145.820999,214.100693,33.857670,142.109482,255.877579,18.896427,106.332039,283.483704,-11.890908,60.437889
64,0,51.314823,72.701881,145.818268,214.053421,33.867516,142.135834,255.816696,18.843456,106.377243,283.470032,-11.916186,60.448135
65,0,51.304897,72.722092,145.814438,214.028763,33.897167,142.143219,255.733337,18.917213,106.412628,283.384552,-11.951594,60.484501
66,0,51.252899,72.754189,145.817978,214.116928,33.885872,142.223297,255.773849,18.889078,106.453110,283.445740,-11.657585,60.383766
67,0,51.231724,72.785538,145.833679,214.108139,33.918819,142.320526,255.702591,18.976215,106.516243,283.380005,-11.918302,60.630295
68,0,51.185474,72.768280,145.870758,214.064590,33.951656,142.411270,255.707657,19.044937,106.638397,283.386475,-11.860154,60.772095
69,0,51.181896,72.777069,145.882202,213.961304,33.982670,142.442444,255.728806,19.058634,106.724731,283.496918,-11.778423,60.936909
70,0,51.161869,72.740005,145.927902,213.971741,33.986660,142.527924,255.801376,19.133047,106.930748,283.567322,-11.713456,61.132988
71,0,51.113655,72.702560,145.980988,213.948929,33.964394,142.658646,255.840546,19.151121,107.072289,283.640289,-11.668508,61.296604
72,0,51.094093,72.659843,146.004440,213.953979,33.998848,142.748032,255.876846,19.143116,107.242065,283.739014,-11.629323,61.457554
73,0,51.072350,72.678993,146.025513,213.939255,34.002148,142.819778,255.864746,19.179842,107.337479,283.805237,-11.608264,61.605217
74,0,51.081505,72.717987,146.011185,213.934357,33.995548,142.879562,255.900146,19.146935,107.405983,283.912506,-11.393308,61.604420
75,0,51.073120,72.728943,146.019073,213.910873,34.003422,142.906509,255.887146,19.159302,107.474869,283.812439,-11.663393,61.748589
76,0,51.108204,72.802658,146.012802,213.921829,34.062199,142.931122,255.874756,19.167616,107.474915,283.786621,-11.700977,61.775341
77,0,51.095184,72.827568,146.010406,213.918396,34.052330,142.901718,255.848114,19.158278,107.455215,283.776642,-11.709796,61.763470
78,0,51.120911,72.848511,146.019333,213.931320,34.101627,142.872055,255.815689,19.198145,107.418419,283.730560,-11.716412,61.720871
79,0,51.128502,72.869446,146.031403,213.914902,34.101704,142.865524,255.799210,19.138220,107.365242,283.686951,-11.746902,61.634933
80,0,51.098717,72.835594,146.037155,213.912109,34.103703,142.846146,255.766159,19.152048,107.348381,283.619019,-11.764446,61.608418
81,0,51.113071,72.848434,146.052200,213.899918,34.077679,142.836685,255.744492,19.183899,107.299438,283.588409,-11.732764,61.536007
82,0,51.086281,72.815651,146.066116,213.881851,34.064445,142.828522,255.725143,19.181667,107.268173,283.584900,-11.697915,61.481430
83,0,51.113625,72.801933,146.052368,213.906464,34.050690,142.778214,255.738403,19.168686,107.222527,283.553589,-11.699862,61.419945
84,0,51.103085,72.775108,146.049194,213.885590,34.057507,142.753571,255.693680,19.180059,107.171524,283.531799,-11.680737,61.388412
85,0,51.058083,72.774818,146.025497,213.854233,34.043221,142.724228,255.674057,19.172344,107.163704,283.521423,-11.705738,61.351181
86,0,51.059425,72.782433,146.015503,213.864166,34.043720,142.694656,255.676834,19.200865,107.125023,283.473572,-11.701967,61.326908
87,0,51.038708,72.807808,145.987442,213.854797,34.072453,142.646805,255.663513,19.172743,107.073898,283.439636,-11.740618,61.291874
88,0,51.078846,72.875137,145.958969,213.852509,34.073174,142.629395,255.685867,19.156006,107.032974,283.424591,-11.770506,61.261475
89,0,51.105675,72.897240,145.937363,213.868317,34.104290,142.580002,255.658783,19.134373,106.996628,283.379364,-11.825732,61.207558
90,0,51.080898,72.949417,145.934540,213.863846,34.107327,142.560562,255.610016,19.159109,106.962273,283.327301,-11.835291,61.184254
91,0,51.087936,72.969505,145.947922,213.861816,34.143261,142.570236,255.567581,19.133595,106.926857,283.273193,-11.833801,61.123882
92,0,51.089600,72.981087,145.933121,213.855011,34.165913,142.545380,255.558640,19.183680,106.911179,283.273560,-11.814412,61.125275
93,0,51.110104,73.008842,145.951401,213.852234,34.183105,142.559921,255.593781,19.167105,106.918762,283.282318,-11.798893,61.073025
94,0,51.100983,73.002609,145.942398,213.863846,34.190636,142.555496,255.625992,19.237875,106.898827,283.313538,-11.725616,61.074047
95,0,51.107605,72.995789,145.939407,213.904297,34.223270,142.562637,255.660767,19.279341,106.889473,283.351593,-11.676431,61.002007
96,0,51.130520,72.980652,145.975021,213.953613,34.213711,142.561234,255.672043,19.298862,106.919487,283.370697,-11.631514,61.024830
97,0,51.181763,73.003326,145.993881,213.988602,34.187534,142.582596,255.735016,19.279154,106.890862,283.414337,-11.579900,61.014362
