Var1,Var2,Var3,Var4,Var5,Var6,Var7
Source,Sum Sq.,d.f.,Singular?,Mean Sq.,F,Prob>F
pre/post,8.95338314867431e-05,1,0,8.95338314867431e-05,0.000271939187946286,0.986849492593954
Error,167.254990863066,508,0,0.329242107998161,,
Total,167.255080396897,509,0,,,
